nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Analityk Biznesowo-Procesowy,"Pieńków, +1 location",Nie,Brak danych,Brak danych
Web Data Analyst,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
Analityk Systemowy,Warszawa,Nie,18 000,20 000
Business Analyst,Wrocław,Nie,17 000,20 000
Analityk systemowy,"Suwałki, +18 locations",Tak,Brak danych,Brak danych
IT analyst,"Gdańsk, +1 location",Nie,10 000,15 000
Senior Systems Analyst,Warszawa,Nie,12 000,16 000
IT System/Business Analyst,Warszawa,Nie,16 000,21 000
Analityk biznesowo-systemowy,Warszawa,Tak,8 000,9 000
VBA Specialist for our Client,Warszawa,Nie,7 500,9 000
Senior Business Analyst,"Gdańsk, +2 locations",Tak,15 600,23 500
Senior Systems Analyst,"Gdańsk, +2 locations",Tak,15 600,23 500
Mid/Senior Business Analyst,Wrocław,Tak,11 000,22 000
Analityk biznesowo-systemowy,Poznań,Nie,Brak danych,Brak danych
Web Analyst / Analityk internetowy,Lublin,Tak,Brak danych,Brak danych
Analityk systemowo - biznesowy,Warszawa,Tak,5 000,9 000
Business Analyst (Network Security),Warszawa,Nie,15 000,19 000
IT Business Analyst,Warszawa,Nie,12 000,17 000
Architekt Rozwiązań IT,Warszawa,Nie,Brak danych,Brak danych
Business Intelligence Developer,Warszawa,Tak,Brak danych,Brak danych
Senior BI Reporter (Tableau),"Warszawa, +2 locations",Tak,25 000,30 000
Analityk Biznesowo-Systemowy,Bolszewo,Nie,Brak danych,Brak danych
Analityk Biznesowo - Systemowy,Warszawa,Tak,7 000,11 000
ETL Developer,Warszawa,Nie,16 800,21 000
Analityk Biznesowy,Wrocław,Nie,21 840,23 520
Business Analyst,Wrocław,Tak,13 600,20 800
Business Analyst,Kraków,Nie,Brak danych,Brak danych
IT Business Analyst,Warszawa,Nie,15 000,21 000
AML Technology Implementation Analyst / Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Analityk Systemowo – Biznesowy,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Ekspert ds. Analityki Danych CRM,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,"Gdańsk, +1 location",Tak,10 000,14 000
Business Analyst,Warszawa,Nie,Brak danych,Brak danych
Analityk biznesowo-systemowy,"Wrocław, +1 location",Nie,10 000,15 000
Technical Writer / Analyst,Warszawa,Tak,23 230,27 870
Analityk biznesowy / Business Analyst,Warszawa,Nie,Brak danych,Brak danych
SAP BW-IP expert,Київ,Tak,15 370,21 960
Business analyst (BI),Київ,Tak,15 370,21 960
Analityk Biznesowo- Systemowy,Warszawa,Tak,Brak danych,Brak danych
Product Analyst,"Kraków, +1 location",Tak,Brak danych,Brak danych
Analityk Biznesowy (CMT Strategy & Consulting),Warsaw,Tak,Brak danych,Brak danych
Analityk biznesowo - systemowy,"Wrocław, +2 locations",Tak,6 000,10 000
Business Analyst,Wrocław,Tak,13 500,20 000
Senior System Analyst,"Warszawa, +2 locations",Tak,22 000,26 000
Analytics Implementation Specialist,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,Warszawa,Tak,23 520,30 240
Analityk systemowy,"Wrocław, +1 location",Tak,20 000,23 500
Senior IT Business Analyst,"Bydgoszcz, +3 locations",Tak,13 000,18 000
IT System Analyst,"Bydgoszcz, +3 locations",Tak,9 000,15 000
Technical Business Analyst,Warszawa,Nie,Brak danych,Brak danych
Power BI Developer,Warszawa,Nie,Brak danych,Brak danych
Analityk Systemowy,"Szczecin, +5 locations",Tak,10 000,15 000
"Visualization Analyst (Communication, Media & Technology)",Warszawa,Tak,Brak danych,Brak danych
👨‍💻Junior Analytics Developer,Poznań,Tak,5 500,7 000
Junior Business Intelligence Developer,Warszawa,Tak,Brak danych,Brak danych
Junior Azure BI Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
Solution Engineer / System Analyst,"Wrocław, +2 locations",Tak,10 000,17 000
Analityk Rozwiązań IT,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,Warszawa,Tak,23 000,24 000
Analityk IT,Warszawa,Nie,Brak danych,Brak danych
