nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Embedded C\C++ Software Developer,Wrocław,Tak,14 000,20 000
Programista C/C++,Warszawa,Nie,10 000,17 000
Embedded Systems Engineer Regular/Senior,Gdańsk,Nie,8 500,17 000
Senior C++ Developer (QT),"Warszawa, +2 locations",Tak,30 000,45 100
Senior C++ Software Engineer,Gdańsk,Nie,16 000,24 000
Linux C Engineer,"Wrocław, +2 locations",Tak,13 000,22 000
Praktyki dla programistów i testerów,Łódź,Nie,Brak danych,Brak danych
5G Cloud Native Junior Software Engineer,Kraków,Nie,Brak danych,Brak danych
C/C++ Developer for 5G RAN,Kraków,Nie,Brak danych,Brak danych
C++ Developer,Kraków,Tak,19 000,29 000
Junior C# Developer,Warszawa,Tak,8 000,9 000
"Senior Developer C++ Linux, Networking",Kraków,Nie,Brak danych,Brak danych
Network / Multiplayer Programmer,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Junior C Developer (Automotive),"Szczecin, +1 location",Nie,Brak danych,Brak danych
Junior C++ Developer (Automotive),Szczecin,Nie,Brak danych,Brak danych
Junior Software Engineer,Wrocław,Nie,8 000,12 000
Embedded Principal Software Engineer,Łódź,Nie,16 700,26 600
Embedded Software Engineer,Wrocław,Nie,10 000,15 000
Internship - Computer Vision Intern,Warszawa,Nie,Brak danych,Brak danych
Embedded C++ Software Engineer,"Katowice, +2 locations",Tak,22 000,32 000
R&D Software Engineer,Wrocław,Nie,9 000,14 500
Team Leader (Embedded),Katowice,Nie,17 000,20 000
Senior Software Engineer,Warszawa,Tak,28 000,42 000
Senior Software Engineer C,Warszawa,Tak,19 000,27 000
C/C++ Developer (Windows/Security),"Wrocław, +1 location",Nie,Brak danych,Brak danych
"Sr Software Engineer, Rust/C","Katowice, +18 locations",Tak,21 000,27 000
Lead C/C++ Developer,"Szczecin, +4 locations",Nie,20 160,26 880
Embedded Software/Firmware Engineer​,Wrocław,Nie,Brak danych,Brak danych
R&D Software Engineer C++,Warszawa,Tak,12 000,17 000
Mid C# Developer,Warszawa,Tak,10 000,14 000
Senior C# Developer,"Białystok, +1 location",Tak,14 000,18 000
Programista FPGA systemów Embedded,Warszawa,Nie,5 000,9 000
Functional Safety Academy - Trainee,Bydgoszcz,Nie,Brak danych,Brak danych
Senior Backend Engineer (Rust),"Kraków, +2 locations",Tak,20 000,28 000
Junior C/C++ Developer,Wrocław,Nie,Brak danych,Brak danych
"Software Engineer (C++, Mid+)","Słupsk, +1 location",Nie,8 000,15 000
IoT Embedded Developer,Warszawa,Tak,Brak danych,Brak danych
Embedded Developer,Warszawa,Nie,8 000,15 000
Remote C++ Developer,Łódź,Tak,9 500,19 000
AR Unity Developer,"Nicosia, +2 locations",Tak,8 780,13 180
"Engineering Manager, Backend (Remote)",Wien,Tak,15 000,30 000
Senior Backend Developer (Fully Remote),Wien,Tak,15 000,30 000
Unity/C# Developer,"Nicosia, +2 locations",Tak,13 180,17 570
Programista C++/Qt,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Senior Software Engineer- Embedded Linux,Kraków,Nie,24 000,32 000
Programista C#,"Gliwice, +1 location",Tak,Brak danych,Brak danych
Embedded Engineer,"Warszawa, +2 locations",Tak,18 500,23 500
C++ Software Engineer,"Katowice, +2 locations",Tak,20 000,28 500
"Programista CC+, EMBEDDED / Robotyk","Warszawa, +2 locations",Nie,14 000,18 000
PROGRAMISTA SYSTEMÓW WBUDOWANYCH,Warszawa,Nie,9 750,15 000
Mid C++ Developer,"Warszawa, +5 locations",Tak,20 000,28 000
C++ Software Engineer (Mid/Senior),"Warszawa, +2 locations",Nie,14 000,24 000
C/C++ Engineer,Kraków,Tak,10 000,20 000
Mid Embedded Software Engineer,"Kraków, +2 locations",Nie,16 800,26 880
Programista C++,Bielsko-Biała,Tak,14 000,22 000
C/C++ Software Engineer for Automotive,"Białystok, +2 locations",Tak,15 000,22 000
Senior Software C++ Engineer,Warszawa,Tak,11 000,16 000
Software C++ Engineer,Warszawa,Tak,7 000,11 000
Software Engineer II-Backend,San Francisco,Tak,Brak danych,Brak danych
Solaris Specialist,"Katowice, +1 location",Tak,Brak danych,Brak danych
AIX Specialist,"Katowice, +1 location",Tak,Brak danych,Brak danych
C/C++ Developer [Firmware],Katowice,Tak,21 000,25 000
"Software Engineer - Marketplace, Fares",Seattle,Tak,Brak danych,Brak danych
Software Engineer - Core Database Engine,"Wrocław, +1 location",Tak,16 720,25 080
Full Stack Developer C#,"Zabrze, +3 locations",Tak,Brak danych,Brak danych
RPA Developer,Wrocław,Nie,Brak danych,Brak danych
Software Engineer II-Backend,San Francisco,Tak,Brak danych,Brak danych
Solaris Specialist,"Katowice, +1 location",Tak,Brak danych,Brak danych
AIX Specialist,"Katowice, +1 location",Tak,Brak danych,Brak danych
C/C++ Developer [Firmware],Katowice,Tak,21 000,25 000
"Software Engineer - Marketplace, Fares",Seattle,Tak,Brak danych,Brak danych
Software Engineer - Core Database Engine,"Wrocław, +1 location",Tak,16 720,25 080
Full Stack Developer C#,"Zabrze, +3 locations",Tak,Brak danych,Brak danych
RPA Developer,Wrocław,Nie,Brak danych,Brak danych
Mid Software Engineer in Test - C++,"Wrocław, +1 location",Tak,11 610,16 260
C/C++ Embedded Designer,Wrocław,Tak,Brak danych,Brak danych
Embedded SW Developer Automotive Electronics,Jasionka,Nie,8 000,14 000
Senior Desktop Engineer (C#/.Net),London,Tak,Brak danych,Brak danych
C# / .NET Developer,Warszawa,Tak,8 500,12 000
Mid/Senior C Developer,Warszawa,Tak,12 500,25 000
C++ DEVELOPER (REMOTE),London,Tak,Brak danych,Brak danych
.NET Software Engineer,"Warsaw, +1 location",Tak,Brak danych,Brak danych
Inżynier rozwoju systemów,Poznań,Nie,5 800,9 000
Elixir Engineer,Kraków,Tak,13 500,20 000
Embedded Software Developer,Kraków,Tak,17 570,21 960
Blockchain Rust Developer,"Wrocław, +1 location",Tak,22 000,26 000
C# Developer,Warszawa,Nie,15 000,20 800
Remote Senior Qt Software Developer,Waltham,Tak,15 370,21 080
C++ Developer,Katowice,Tak,11 000,20 000
QT/C++ Developer,"Warszawa, +1 location",Nie,12 000,22 000
Programmer C++,Gliwice,Tak,Brak danych,Brak danych
C# DevExpress Desktop Developer (Remote),Gdańsk,Tak,11 000,13 000
Młodszy Programista C/C++,Warszawa,Nie,Brak danych,Brak danych
Mid Embedded Linux Developer,Wrocław,Tak,13 000,23 000
