nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Backend Java Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Junior Java Developer,Wrocław,Tak,6 000,9 000
Java Developer (Junior-Senior),"Wrocław, +2 locations",Tak,11 500,23 000
Java Developer,"Kraków, +2 locations",Tak,11 300,15 900
Java Engineer,"Warszawa, +2 locations",Tak,23 000,33 000
Senior Backend Developer,"Gdańsk, +2 locations",Tak,20 000,26 000
Backend Developer,Warszawa,Tak,11 000,18 000
Senior Software Engineer (Java),Gdańsk,Nie,16 000,24 000
Java Software Engineer/System Architect,"Gliwice, +3 locations",Nie,11 800,20 400
Java Software System Engineer,"Gliwice, +3 locations",Nie,9 000,16 200
Konsultant Enterprise Content Management,Warszawa,Nie,7 000,12 500
Senior Java Developer,"Warszawa, +18 locations",Tak,23 500,28 500
Senior Back End Engineer with AWS,"Wrocław, +2 locations",Tak,17 000,21 000
Backend Java Engineer,"Sunny Isles Beach, +2 locations",Tak,15 370,24 160
Java Software Engineer,"Sunny Isles Beach, +2 locations",Tak,10 980,19 760
Java Developer,"Warszawa, +5 locations",Tak,14 000,20 000
Java Backend Developer,"Łódź, +2 locations",Tak,10 000,20 000
Senior Java Developer,Poznań,Tak,18 000,27 000
Java Developer,"Warszawa, +8 locations",Nie,11 800,17 900
Fullstack Developer,"Warszawa, +8 locations",Nie,11 800,17 900
Fullstack Developer (Java + Angular),"Warszawa, +18 locations",Tak,14 000,25 000
Junior Java Developer,"Warszawa, +7 locations",Nie,7 700,11 800
Java Developer,Warszawa,Tak,16 800,25 200
Team Leader (Java/Kotlin),"Toruń, +8 locations",Nie,18 000,25 000
Algorithms Software Engineer,Kraków,Tak,21 000,28 000
Junior Fullstack Java Developer,Wrocław,Nie,8 000,9 000
Junior Java Engineer,Warszawa,Nie,8 000,12 000
Senior Java Developer,"Kraków, +2 locations",Tak,19 000,31 000
"Fullstack Developer (Java, Angular)",Wrocław,Tak,21 840,26 040
Senior Java Developer,Warszawa,Nie,14 300,28 600
Senior Backend Engineer,Bielsko-Biała,Nie,13 500,17 000
Java Developer | Spring & IBM WebSphere,Kraków,Tak,20 000,30 000
Software Engineer,"Warszawa, +2 locations",Tak,18 500,25 000
Software Engineer - Java (Poland/Remote),Kraków,Nie,Brak danych,Brak danych
Java Developer (Backend or Fullstack),Warszawa,Tak,23 520,26 880
Fullstack Technical Leader,Warszawa,Tak,23 520,26 880
Senior Software Engineer (Java),"Gdańsk, +4 locations",Tak,12 000,20 000
Staff Engineer (Backend),Bielsko-Biała,Nie,17 500,22 400
Junior Backend Software Engineer,"Poznań, +1 location",Nie,7 200,11 500
Full-Stack Developer (Java+ JavaScript),"Wrocław, +2 locations",Tak,23 000,25 000
AEM Developer (Mid/Senior),"Poznań, +2 locations",Nie,22 000,29 000
Senior Java Developer,Kraków,Tak,19 000,29 000
Java Spring Developer (swoboda i spokój),Kraków,Tak,21 000,30 000
Java Developer,Katowice,Nie,15 210,25 200
Salesforce Developer all levels,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Java Developer,"Warszawa, +2 locations",Tak,23 500,28 500
Senior Java Developer (pod projekt),"Gliwice, +2 locations",Tak,16 893,26 395
Staff Software Engineer,"Warszawa, +18 locations",Tak,Brak danych,Brak danych
Junior Java Developer,Warszawa,Tak,6 000,9 000
Java Developer,"Wrocław, +4 locations",Tak,16 000,21 000
Senior Salesforce Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Big Data Engineer with Spark,Warszawa,Tak,16 500,27 000
Frontend Software Engineer (React.js),"Gdańsk, +2 locations",Tak,12 000,24 000
Java Full Stack Engineer,"Kraków, +2 locations",Tak,12 000,18 000
Engineering Manager,Poznań,Tak,24 000,31 999
Senior Full-Stack Software Engineer,"Warszawa, +18 locations",Tak,Brak danych,Brak danych
Praktyki w zespole SDN - Java Developer,Warszawa,Tak,,
Technical Team Leader,Poznań,Tak,20 000,24 000
Senior Developer Backend,Katowice,Nie,16 000,28 000
Software Engineer (Java),"Kraków, +18 locations",Tak,17 570,29 870
Software Engineer,Kraków,Tak,15 000,25 000
Fullstack Java Developer,Warszawa,Tak,23 000,29 000
Software Engineer (JAVA),Gdańsk,Nie,Brak danych,Brak danych
Senior Java Developer,"Warszawa, +2 locations",Tak,21 000,26 000
Java Developer [4 day work week],"Szczecin, +1 location",Tak,8 000,16 000
QA Team Lead,Porto,Tak,12 770,16 630
Software Engineer (Java),"Kraków, +18 locations",Tak,17 570,29 870
Software Engineer,Kraków,Tak,15 000,25 000
Fullstack Java Developer,Warszawa,Tak,23 000,29 000
Software Engineer (JAVA),Gdańsk,Nie,Brak danych,Brak danych
Senior Java Developer,"Warszawa, +2 locations",Tak,21 000,26 000
Java Developer [4 day work week],"Szczecin, +1 location",Tak,8 000,16 000
QA Team Lead,Porto,Tak,12 770,16 630
Software Development Engineer III – Java,Kraków,Nie,24 000,36 000
Senior Backend Developer,Kraków,Nie,22 000,29 000
Java Backend/ Fullstack Developer,Kraków,Tak,19 000,28 560
Chatbot Software Developer,Warszawa,Nie,Brak danych,Brak danych
Full-Stack Developer,Warszawa,Nie,Brak danych,Brak danych
Junior/Regular Software Engineer,Łódź,Nie,9 800,17 300
IT Solution Manager for Master Data Mgmt,Warszawa,Nie,Brak danych,Brak danych
Java Game Developer,Warszawa,Nie,19 500,25 760
Full Stack Java Developer,Warszawa,Nie,10 000,17 000
IT Development Lead Master Data Mgmt,Warszawa,Nie,Brak danych,Brak danych
Java Developer,"Wrocław, +2 locations",Tak,15 000,20 000
Embedded Penetration Tester,Warszawa,Nie,Brak danych,Brak danych
Java Developer,Warszawa,Nie,10 000,20 000
Senior Test Automation Engineer + Java,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Java Developer,Warszawa,Nie,20 000,27 000
Software Developer in Test Java API,Kraków,Tak,20 000,22 000
Junior Java Developer,Warszawa,Nie,7 500,14 400
Senior Java Developer (Backend),Warszawa,Nie,Brak danych,Brak danych
JAVA Developer,"Warszawa, +3 locations",Tak,11 000,22 000
Remote Senior Java Developer,Warszawa,Tak,22 500,26 000
Java Backend Developer (senior),"Warszawa, +3 locations",Tak,17 800,32 000
Lead / Senior Backend Developer (REMOTE),Warszawa,Tak,25 000,44 000
Java Developer,Warszawa,Tak,13 500,27 000
Mid Backend Engineer (Java),Poznań,Tak,11 000,15 000
Junior/Mid Backend Engineer,Poznań,Tak,10 000,20 000
Senior Java Developer – banking sector,Warszawa,Tak,21 000,27 300
Java Developer (project-based),Kraków,Tak,16 800,21 840
Junior Java Developer (Caramba Team),Warszawa,Nie,7 500,11 000
Full-stack Software Developer (f/m/d),Kraków,Tak,Brak danych,Brak danych
Experienced Java Developer (f/m/d),Kraków,Tak,Brak danych,Brak danych
Fullstack Developer,"Poznań, +3 locations",Tak,18 000,25 000
Senior Java Developer,Wrocław,Nie,Brak danych,Brak danych
Senior Java Developer,"Warszawa, +2 locations",Tak,14 700,24 150
Java Software Engineer (f/m/d),Kraków,Tak,Brak danych,Brak danych
Senior Software Engineer Java,Kraków,Nie,17 500,28 000
Java Developer,"Warszawa, +2 locations",Tak,14 000,16 000
Java Developer,Gdańsk,Tak,15 200,24 000
Software Engineer (Java),Kraków,Nie,13 500,20 000
Remote Java Developer,"Warszawa, +2 locations",Tak,16 800,25 200
Senior Java developer,"Wrocław, +2 locations",Tak,23 000,27 000
Java Developer,Gdańsk,Tak,17 500,19 500
Java Developer,Katowice,Tak,14 000,20 000
Senior Java Developer,"Warszawa, +5 locations",Tak,30 000,45 100
Software Engineer - Internship,Kraków,Nie,7 000,9 000
Java Developer with Kafka,"Wrocław, +17 locations",Tak,Brak danych,Brak danych
Front- end Developer,"Warszawa, +3 locations",Tak,14 000,20 000
Java Engineer,Warszawa,Nie,15 000,22 000
Java Developer,Warszawa,Nie,16 000,24 000
Head of Software Development,Kraków,Nie,32 000,48 000
Java Developer,"Warszawa, +1 location",Tak,18 000,28 000
Java Developer,Wrocław,Tak,10 000,18 000
Software Development Manager,Kraków,Nie,28 800,43 200
Java Engineer,Warszawa,Nie,12 000,18 000
R&D Team Leader,Kraków,Nie,25 000,35 000
Java Developer (Junior i Regular),Kraków,Tak,13 000,26 000
Java Software Engineer,"Wrocław, +5 locations",Nie,10 000,20 000
Senior Java Developer z Python,Warszawa,Tak,26 000,38 000
Remote Java Developer,Zielona Góra,Tak,14 000,20 000
Java Developer,"Warszawa, +1 location",Tak,24 000,35 200
Starszy Inżynier ds. rozwoju oprogramowania,Warszawa,Nie,Brak danych,Brak danych
Java Developer,Warszawa,Tak,18 000,20 000
Senior/Lead Java Developer,"Lublin, +2 locations",Tak,25 000,28 000
Senior Java Developer,"Warszawa, +2 locations",Tak,24 000,32 000
Senior Java Developer,Warszawa,Nie,Brak danych,Brak danych
Java Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Java Developer,"Kraków, +1 location",Tak,21 000,28 000
