nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Lead Android Developer Kotlin Java,Kraków,Nie,27 000,27 500
Junior React Native Developer,Łódź,Nie,5 000,8 500
Senior Mobile Software Engineer,"Poznań, +1 location",Nie,17 500,24 000
Mobile Software Engineer,"Poznań, +1 location",Nie,11 500,17 500
Flutter Developer,Wrocław,Tak,Brak danych,Brak danych
Android Software Developer,Warszawa,Nie,13 000,18 000
Android/Kotlin developer,"Kraków, +2 locations",Tak,16 800,25 200
iOS developer,"Kraków, +2 locations",Tak,16 800,25 200
Flutter (Intership Program),Gliwice,Nie,,
Devops Engineer,Gliwice,Tak,21 600,25 600
Android Developer,"Gdańsk, +2 locations",Tak,9 000,17 000
iOS Developer,"Gdańsk, +2 locations",Tak,12 000,20 000
React Native Developer,"Gdańsk, +2 locations",Tak,9 000,17 000
Senior iOS Developer,"Gdańsk, +2 locations",Tak,22 000,26 000
iOS Developer (Mid/Senior),Warszawa,Tak,Brak danych,Brak danych
iOS Developer (REMOTE),Warszawa,Tak,20 000,25 000
Internship-Mobile Communication Division,Warszawa,Nie,Brak danych,Brak danych
React Native (Senior / Mid) Developer,Gdynia,Tak,14 000,22 000
WP Pilot Junior iOS Developer,Warszawa,Tak,Brak danych,Brak danych
Lead/Senior React Native Developer,"Warszawa, +2 locations",Tak,24 000,32 000
Regular Android Software Engineer,"Kraków, +5 locations",Tak,13 000,18 000
Senior Android Engineer,"Warszawa, +2 locations",Tak,18 200,28 300
Senior iOS Engineer,"Warszawa, +2 locations",Tak,24 000,30 000
Android Software Engineer,"Katowice, +2 locations",Tak,24 000,34 000
Junior Mobile Telecommunication Engineer,Warszawa,Nie,Brak danych,Brak danych
Software QA Engineer,Austin,Tak,Brak danych,Brak danych
React Native Developer,Wrocław,Tak,10 000,19 000
Junior Android Developer,Kraków,Nie,5 000,9 000
Mobile Developer,Kraków,Tak,15 120,25 200
Flutter Developer,Kraków,Tak,13 500,20 000
Android Developer (REMOTE),"Warszawa, +2 locations",Tak,22 000,27 000
Senior Flutter Developer,Kraków,Tak,18 000,26 000
Junior iOS Developer,Wrocław,Tak,4 000,7 000
Head of Mobile Development,"Poznań, +1 location",Tak,Brak danych,Brak danych
Junior Flutter Engineer,Wrocław,Nie,5 000,10 000
Android Developer,Lublin,Nie,7 500,15 000
Android Engineer,"Poznań, +2 locations",Tak,11 000,16 000
Junior iOS Developer,Wrocław,Nie,5 000,8 000
Remote Senior Android Developer,"Warszawa, +1 location",Tak,26 400,30 800
Remote React Native Developer,"Warszawa, +2 locations",Tak,16 800,25 200
Android Software Developer,"Warszawa, +1 location",Tak,Brak danych,Brak danych
iOS Developer,Warszawa,Tak,17 000,24 000
"Manager, Software Engineering","Wrocław, +1 location",Tak,23 000,28 000
iOS Developer,Gdańsk,Tak,14 000,21 000
Flutter Developer,Warszawa,Tak,21 000,28 000
Software Engineer - iOS,Kraków,Nie,Brak danych,Brak danych
Flutter Developer,Warszawa,Tak,10 000,19 000
Senior React Native Developer,Poznań,Tak,16 400,25 590
iOS Developer (Swift),"Katowice, +2 locations",Tak,17 000,24 000
Senior Software Engineer -  Android SDK,"Białystok, +17 locations",Tak,Brak danych,Brak danych
Middle iOS Developer,"Wrocław, +2 locations",Tak,11 000,20 000
React Native Developer,"Wrocław, +2 locations",Tak,13 500,21 500
React Native & Blockchain Developer,Szwajcaria,Tak,18 580,27 870
Android Engineer,Kraków,Nie,15 000,21 000
Flutter Engineer,"Kraków, +2 locations",Nie,11 000,21 000
Junior React Native Developer,Kraków,Nie,4 000,8 000
Senior React Native Developer,"Poznań, +1 location",Tak,16 800,25 200
React Native Developer,Warszawa,Tak,8 500,16 800
Programista Android,"Kraków, +1 location",Tak,10 500,21 000
Production Lead - Technology Specialist,Kraków,Nie,Brak danych,Brak danych
Quality Lead - Technology Specialist,Kraków,Nie,Brak danych,Brak danych
iOS Developer (Mid/Senior),"Warszawa, +6 locations",Tak,22 000,27 000
Android Developer (Kotlin),Warszawa,Tak,20 000,26 000
Senior React Native Developer,"Poznań, +1 location",Tak,16 800,25 200
React Native Developer,Warszawa,Tak,8 500,16 800
Programista Android,"Kraków, +1 location",Tak,10 500,21 000
Production Lead - Technology Specialist,Kraków,Nie,Brak danych,Brak danych
Quality Lead - Technology Specialist,Kraków,Nie,Brak danych,Brak danych
iOS Developer (Mid/Senior),"Warszawa, +6 locations",Tak,22 000,27 000
Android Developer (Kotlin),Warszawa,Tak,20 000,26 000
Senior Android Developer,Warszawa,Tak,Brak danych,Brak danych
Programista iOS,"Warszawa, +2 locations",Tak,13 000,20 000
Lead Android Engineer,Warszawa,Tak,Brak danych,Brak danych
Mobile Developer (Ionic),Warszawa,Tak,30 000,34 000
iOS Developer (Mid),Warszawa,Tak,9 350,16 500
React Native Developer,"Łódź, +2 locations",Tak,13 000,24 000
Android Developer,"Warszawa, +1 location",Nie,22 000,26 000
iOS Developer,Kraków,Nie,13 500,20 000
AR Mobile Developer,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Senior Android Developer,Gdańsk,Tak,16 000,24 000
Senior Android Developer,"Kraków, +1 location",Nie,20 000,28 000
Android Developer,Gdańsk,Tak,21 840,26 880
Android Developer,Warszawa,Tak,16 800,23 500
Senior iOS Developer,Warszawa,Tak,14 000,26 000
Senior iOS Developer,Gdańsk,Tak,16 000,24 000
Senior Android Developer,Białystok,Tak,17 000,20 000
Mid Android Developer,Warszawa,Tak,12 000,17 000
QA Automation Specialist,Warszawa,Tak,8 000,12 000
Senior iOS Engineer,Kraków,Tak,17 000,26 000
iOS Engineer,Kraków,Tak,11 000,19 000
Android Developer,Wrocław,Tak,15 120,21 840
Lead iOS Engineer,Warszawa,Tak,Brak danych,Brak danych
Senior iOS Developer,"Warszawa, +2 locations",Tak,16 000,25 300
Junior Android Developer,Lublin,Nie,5 000,9 000
Senior/Principal iOS Developer,"Wrocław, +2 locations",Tak,14 200,27 400
Senior iOS Engineer,Warszawa,Tak,Brak danych,Brak danych
Mid/Senior Android Developer,Wrocław,Tak,13 000,25 500
Mid/Senior iOS Developer,Wrocław,Tak,13 000,25 500
Senior Flutter Developer m/f/d,Berlin,Tak,21 290,25 160
Lead Android Developer,"Kraków, +2 locations",Tak,16 000,27 000
Remote Flutter Developer,"Warszawa, +1 location",Tak,10 000,18 600
Android Engineer (Open to Remote!),San Francisco,Tak,Brak danych,Brak danych
Android Developer (Kotlin),Warszawa,Tak,21 000,30 240
Research Engineer,Wrocław,Tak,14 000,21 000
Xamarin Native Developer,Kraków,Tak,13 440,25 200
Senior Android Developer,Gdańsk,Tak,18 580,30 190
Android Developer - WP Pilot,Warszawa,Tak,Brak danych,Brak danych
"Mobile Engineer, AI Services (Edge ML)",Kraków,Tak,11 000,19 000
iOS Engineer,Warszawa,Tak,13 000,20 000
iOS Developer - Remote,Limassol,Tak,13 940,23 230
