nazwa,miasto,zdalnie,zarobki_min,zarobki_max
DevOps Engineer,"Lublin, +3 locations",Tak,Brak danych,Brak danych
Mid/Senior DevOps Engineer with Azure,Warszawa,Tak,18 000,28 000
"DevOps Engineer (Python,AWS)","Wrocław, +2 locations",Tak,12 000,23 998
GCP Senior/Lead DevOps/Cloud Architect,"Wrocław, +2 locations",Tak,20 000,32 000
Senior DevOps,"Wrocław, +2 locations",Tak,20 000,27 000
DevOps Engineer,Wrocław,Tak,Brak danych,Brak danych
AWS Cloud Serverless Engineer/DevOps,Wrocław,Tak,30 240,36 960
Azure/Cloud Engineer (Python),"Warszawa, +2 locations",Tak,18 000,22 000
Senior DevOps Engineer,Warszawa,Nie,23 000,29 000
Middle DevOps Engineer,"Warszawa, +2 locations",Tak,20 000,23 000
Senior DevOps Engineer,Kraków,Tak,19 000,30 000
ETL Developer (banking sector),Warszawa,Tak,Brak danych,Brak danych
Cloud/DevOps Architect,"Warszawa, +2 locations",Tak,23 000,28 000
DevOps Engineer,"Opole, +2 locations",Tak,14 000,24 000
DevOps Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
DevOps Engineer,"Warszawa, +5 locations",Tak,25 000,35 100
Middle/Senior DevOps Engineer (GCP),Warszawa,Nie,Brak danych,Brak danych
Remote Senior Kubernetes DevOps Engineer,Warszawa,Tak,27 870,32 520
Senior DevOps Engineer for automated Cloud Deployment,Warszawa,Tak,19 500,28 000
DevOps Engineer,"Wrocław, +18 locations",Tak,13 000,19 000
DEVOPS (OBSZAR MACHINE LEARNING),Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,"Katowice, +1 location",Tak,16 000,22 000
Site Reliability Engineer,Gdańsk,Nie,Brak danych,Brak danych
Senior DevOps Engineer,"Gliwice, +1 location",Tak,20 000,28 000
DevOps (REMOTE),Kraków,Tak,18 000,24 000
DevOps Engineer (Azure),Wrocław,Tak,36 960,40 320
DevOps Engineer: Database (f/m/d),Kraków,Nie,Brak danych,Brak danych
Hadoop Expert,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,"Kraków, +17 locations",Tak,15 000,22 000
DevOps Engineer,Lublin,Nie,Brak danych,Brak danych
DevOps Engineer,Gdańsk,Tak,Brak danych,Brak danych
Infrastructure Engineer,Warszawa,Tak,9 000,14 000
Cloud DevOps Engineer (AWS)&IoT - eBike,Warszawa,Nie,Brak danych,Brak danych
Infrastructure & DevOps Engineer,"Katowice, +2 locations",Tak,20 000,30 000
Senior Platform Engineer,Warszawa,Tak,26 464,33 082
AWS DevOps Engineer,"Wrocław, +2 locations",Tak,22 500,28 500
DevOps Engineer,Warszawa,Tak,Brak danych,Brak danych
DevOps Engineer AWS,Wrocław,Tak,17 000,24 000
Cloud Engineer,Wrocław,Tak,16 000,23 000
Senior Cloud Engineer,"Gdańsk, +1 location",Tak,22 000,28 000
Junior DevOps Engineer,"Kraków, +1 location",Tak,6 000,9 000
Senior Azure DevOps,Warszawa,Tak,Brak danych,Brak danych
Senior DevOps Engineer,Kraków,Tak,22 000,30 000
Junior DevOps Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
DevOps Engineer,"Wrocław, +2 locations",Tak,13 440,23 500
Cloud Architect,"Warszawa, +2 locations",Tak,25 000,33 000
DevOps Engineer (AWS),"Warszawa, +2 locations",Tak,20 000,23 000
DevOps Engineer,Warszawa,Nie,10 000,20 000
DevOps Engineer,"Warszawa, +5 locations",Tak,10 980,21 960
Senior SysOps/DevOps Engineer,"Wrocław, +1 location",Tak,22 000,25 000
DevOps Engineer in 4G/5G RAN,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,"Warszawa, +1 location",Tak,24 000,32 000
Integration Engineer,Wrocław,Tak,20 000,25 000
Inżynier DevOps,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer | Big Data,Warszawa,Nie,15 000,25 000
Cloud Engineer,Gdańsk,Nie,18 500,23 500
DevOps,Katowice,Nie,10 000,13 000
DevOps and Cloud Engineer,"Katowice, +3 locations",Tak,18 580,27 870
DevOps Engineer,Poznań,Tak,8 000,15 000
DevOps Engineer,"Warszawa, +2 locations",Tak,18 000,22 000
DevOps Engineer,Warszawa,Tak,Brak danych,Brak danych
Junior DevOps Engineer,Warszawa,Nie,Brak danych,Brak danych
Devops Engineer,Warszawa,Tak,11 000,15 000
DevOps Engineer Cloud (m/f/d),"Berlin, +2 locations",Tak,Brak danych,Brak danych
SysOps Engineer in 4G/5G RAN,Warszawa,Nie,Brak danych,Brak danych
Junior DevOps Engineer,Warszawa,Nie,5 000,9 000
Junior Cloud Engineer,"Kraków, +1 location",Tak,Brak danych,Brak danych
Integration Engineer,Warszawa,Tak,8 000,10 000
Senior DevOps Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
DevOps Engineer,Warszawa,Tak,14 000,20 000
DevOps Engineer Cloud (m/f/d),"Berlin, +2 locations",Tak,Brak danych,Brak danych
SysOps Engineer in 4G/5G RAN,Warszawa,Nie,Brak danych,Brak danych
Junior DevOps Engineer,Warszawa,Nie,5 000,9 000
Junior Cloud Engineer,"Kraków, +1 location",Tak,Brak danych,Brak danych
