,zarobki_min,zarobki_max,nazwa,miasto,zdalnie,zarobki_srednie
477,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
480,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
481,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
482,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
483,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
485,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
488,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
489,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
490,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
491,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
493,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
496,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
497,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
498,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
499,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
501,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
504,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
505,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
506,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
507,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
509,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
512,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
513,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
514,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
515,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
517,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
520,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
521,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
522,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
523,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
525,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
528,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
529,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
530,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
531,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
533,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
536,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
537,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
538,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
539,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
541,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
544,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
545,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
546,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
547,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
549,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
552,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
553,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
554,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
555,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
557,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
560,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
561,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
562,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
563,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
565,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
568,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
569,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
570,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
571,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
573,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
576,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
577,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
578,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
579,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
581,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
584,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
585,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
586,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
587,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
589,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
592,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
593,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
594,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
595,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
596,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
599,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
600,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
601,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
602,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
603,10000.0,15000.0,Product Owner,Katowice,Tak,12500.0
606,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
607,23000.0,29000.0,.Net Technical Lead,Kraków,Tak,26000.0
608,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
609,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
614,20000.0,25000.0,Senior Java Developer,Wrocław,Tak,22500.0
665,9000.0,15000.0,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie,12000.0
686,5000.0,13000.0,Programista .NET,Łódź,Nie,9000.0
692,8500.0,13000.0,"Developer ERP ""EmploySystem""",Opole,Tak,10750.0
699,9100.0,15100.0,Node.js Developer,Kraków,Tak,12100.0
727,13000.0,16000.0,Programista .NET,Katowice,Tak,14500.0
732,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
753,22000.0,22000.0,Front-End developer JS / Angular,Wrocław,Tak,22000.0
756,8000.0,15500.0,Web Analyst,Warszawa,Nie,11750.0
767,15000.0,17000.0,Business Analyst with BI/Tableau,Kraków,Tak,16000.0
