,zarobki_min,zarobki_max,nazwa,miasto,zdalnie,zarobki_srednie
4306,12900.0,16700.0,Mid Linux Engineer,Warszawa,Tak,14800.0
4307,8000.0,9000.0,Linux Administrator with DevOps,Kraków,Tak,8500.0
4308,13000.0,17000.0,Network Engineer with Python,Gdynia,Nie,15000.0
4309,15000.0,23000.0,Remote Mid/Senior SQL Server Admin,"New York, +18 locations",Tak,19000.0
4310,5000.0,8000.0,IT Operator,Warszawa,Nie,6500.0
4312,14500.0,19000.0,Senior System Administrator,Warszawa,Tak,16750.0
4313,,,Praktyki w zespole infrastruktury IT,Warszawa,Nie,
4315,16000.0,21000.0,Administrator Aplikacji,Katowice,Tak,18500.0
4317,9240.0,12600.0,Junior IT Configuration Manager,Warszawa,Nie,10920.0
4318,6000.0,10000.0,Administrator Systemów IT,Poznań,Nie,8000.0
4319,5000.0,10000.0,Technical Service Engineer,Zielona Góra,Tak,7500.0
4320,5000.0,10000.0,Remote Service System Engineer,"Zielona Góra, +2 locations",Tak,7500.0
4321,5500.0,11000.0,Integration Engineer,"Zielona Góra, +2 locations",Tak,8250.0
4322,8000.0,11000.0,System & Applications Administrator,"Warszawa, +2 locations",Tak,9500.0
4327,6000.0,10000.0,IT Administrator,Kraków,Nie,8000.0
4330,10000.0,15000.0,Administrator Sieci Internetowej,Zabrze,Nie,12500.0
4331,16000.0,25000.0,Senior Sys Ops,"Kraków, +18 locations",Tak,20500.0
4332,8300.0,12500.0,Linux System Administrator,Warszawa,Tak,10400.0
4333,21840.0,23520.0,Administrator IT (DevOps),Łódź,Nie,22680.0
4334,14000.0,17000.0,DBA Engineer,"Wrocław, +2 locations",Tak,15500.0
4336,12000.0,16000.0,Database Administrator,Warszawa,Nie,14000.0
4337,8300.0,12500.0,Big Data Administrator,Warszawa,Tak,10400.0
4338,6000.0,8000.0,Junior IT Administrator,Poznań,Nie,7000.0
4341,21840.0,25200.0,System Administrator,Wrocław,Tak,23520.0
4343,13500.0,20000.0,DB2 LUW Administrator,Kraków,Nie,16750.0
4345,15120.0,21840.0,Atlassian Administrator,Poznań,Tak,18480.0
4346,9000.0,14000.0,Administrator Aplikacji/DevOps,Warszawa,Tak,11500.0
4347,25000.0,28000.0,Database Administrator (PostgreSQL),Warszawa,Tak,26500.0
4349,3500.0,6000.0,Administrator,Wrocław,Nie,4750.0
4350,6000.0,12000.0,Administrator,Wrocław,Nie,9000.0
4351,12000.0,16000.0,Inżynier Systemowy Linux,Warszawa,Nie,14000.0
4352,9200.0,14200.0,System Administrator – Linux,"Wrocław, +2 locations",Tak,11700.0
4354,12000.0,19000.0,IT Systems & Support Engineer,Wrocław,Nie,15500.0
4356,5000.0,10000.0,Service Consultant System Technology,"Warszawa, +1 location",Tak,7500.0
4357,6000.0,8000.0,System Administrator,Sopot,Nie,7000.0
4362,6000.0,7500.0,Office Administrator,Wrocław,Nie,6750.0
4364,6000.0,7000.0,PC/LAN Administrator,Kraków,Tak,6500.0
4365,5000.0,8000.0,IT Administrator,Warszawa,Nie,6500.0
4366,7000.0,10000.0,Cloud Network Engineer,"Płock, +1 location",Nie,8500.0
4369,15000.0,20000.0,Network Data Admin- Russian Speaker,Warsaw,Nie,17500.0
4370,8000.0,16000.0,Senior IT Administrator,Warszawa,Nie,12000.0
4374,9000.0,13000.0,DevOps Engineer (Apps),Bydgoszcz,Nie,11000.0
4376,8000.0,16000.0,Senior IT Administrator,Warszawa,Nie,12000.0
4380,9000.0,13000.0,DevOps Engineer (Apps),Bydgoszcz,Nie,11000.0
4382,6000.0,12000.0,IT Administrator,Kraków,Nie,9000.0
4384,18000.0,20000.0,Network Engineer,Plewiska,Tak,19000.0
4388,12600.0,17800.0,Oracle Database Administrator,Warszawa,Tak,15200.0
4390,8000.0,14000.0,Administrator Sieci,Tajęcina,Nie,11000.0
4391,5000.0,10000.0,Administrator Systemów,"Kraków, +1 location",Tak,7500.0
4392,8000.0,14000.0,Administrator Sieci,Rzeszów,Nie,11000.0
4393,8000.0,13000.0,Administrator sieci/firewall,Kraków,Nie,10500.0
4396,6000.0,8000.0,Administrator Systemów IT,Łódź,Nie,7000.0
4400,7000.0,14000.0,Specjalista ds. Utrzymania Systemów IT,Warszawa,Tak,10500.0
4404,15000.0,22000.0,Middleware Administrator,Kraków,Tak,18500.0
4408,13000.0,19000.0,Atlassian Administrator / SME,Kraków,Tak,16000.0
4409,8400.0,15200.0,System Administrator,"Łódź, +2 locations",Nie,11800.0
4410,12000.0,16000.0,System Administrator,Warszawa,Nie,14000.0
4411,19540.0,29020.0,Webmethods Engineer,"Warszawa, +2 locations",Tak,24280.0
4412,9560.0,17500.0,JIRA Implementation Specialist,"Kraków, +2 locations",Tak,13530.0
4413,15000.0,21000.0,ServiceNow Technical Administrator,Kraków,Tak,18000.0
4414,19000.0,23000.0,Senior Oracle Database Administrator,Kraków,Tak,21000.0
4415,4000.0,7000.0,Junior IT Administrator,Warszawa,Nie,5500.0
4416,20000.0,24000.0,MQ Specialist,Kraków,Tak,22000.0
4417,15000.0,22000.0,Websphere Administrator,Kraków,Tak,18500.0
4418,24000.0,28800.0,Site Reliability Engineer,Wrocław,Tak,26400.0
4419,7700.0,9200.0,Administrator IT,"Zaścianki, +1 location",Nie,8450.0
4421,4000.0,7000.0,Office IT Administrator,Poznań,Nie,5500.0
4423,8000.0,15000.0,SaaS Platforms Engineer,"Poznań, +1 location",Tak,11500.0
4424,19000.0,24000.0,Virtualization Engineer/Manager,Warszawa,Tak,21500.0
4425,5500.0,6800.0,Junior IT Admin,Warszawa,Nie,6150.0
4426,9000.0,14000.0,System and Network Administrator,Warszawa,Nie,11500.0
4427,8400.0,14500.0,Systems Engineer,Kraków,Nie,11450.0
4428,5000.0,8000.0,Administrator,Łódź,Nie,6500.0
4431,6000.0,11000.0,Administrator Sieci,Knurów,Nie,8500.0
4438,19280.0,25080.0,IT Administrator,München,Nie,22180.0
4441,7000.0,12000.0,Linux Administrator,Kraków,Nie,9500.0
4443,8000.0,12000.0,Admin / SysOps / DevOps,Kraków,Tak,10000.0
4444,6720.0,10080.0,Linux Administrator,Warszawa,Tak,8400.0
4445,16000.0,18000.0,UNIX/LINUX Senior Specialist,Kraków,Tak,17000.0
4446,10000.0,15000.0,Administrator Systemów,Katowice,Tak,12500.0
4448,14000.0,16000.0,Oracle Database Administrator,Kraków,Tak,15000.0
4451,12600.0,15000.0,Administrator Systemów i Aplikacji,Warszawa,Nie,13800.0
4453,5500.0,10000.0,Administrator systemów serwerowych,Katowice,Nie,7750.0
4456,18000.0,22000.0,Senior Citrix Technical Administrator,Kraków,Nie,20000.0
4457,18000.0,24000.0,Remote Linux/Windows Administrator,"Lublin, +2 locations",Tak,21000.0
4458,9000.0,10000.0,Administrator ds. utrzymania systemów IT,Gdańsk,Nie,9500.0
4460,5500.0,10000.0,Administrator systemów serwerowych,Katowice,Nie,7750.0
4463,18000.0,22000.0,Senior Citrix Technical Administrator,Kraków,Nie,20000.0
4464,18000.0,24000.0,Remote Linux/Windows Administrator,"Lublin, +2 locations",Tak,21000.0
4465,9000.0,10000.0,Administrator ds. utrzymania systemów IT,Gdańsk,Nie,9500.0
4466,9000.0,10000.0,Administrator ds. Aplikacji,Gdańsk,Tak,9500.0
4467,16000.0,19000.0,Unix/Linux System Administrator,Kraków,Tak,17500.0
4468,15000.0,21000.0,Control-M Administrator,Kraków,Tak,18000.0
4472,15000.0,21000.0,Database Security Administrator-Guardium,Kraków,Tak,18000.0
4473,23520.0,30240.0,Administrator IT/ DevOps,Kraków,Tak,26880.0
4474,15000.0,21500.0,Websphere Administrator,Kraków,Tak,18250.0
4475,15000.0,17000.0,Network Specialist,Kraków,Tak,16000.0
4476,10000.0,15000.0,Mid Linux System Engineer,"Warszawa, +3 locations",Tak,12500.0
4478,18000.0,22000.0,Senior Linux System Engineer,"Poznań, +3 locations",Tak,20000.0
4480,13000.0,15000.0,Administrator Baz Danych,Warszawa,Nie,14000.0
4481,12000.0,15000.0,IT Manager,Łódź,Tak,13500.0
4482,16000.0,21000.0,ServiceNow Technical Administrator,Kraków,Tak,18500.0
4483,18000.0,24000.0,IWS/TWS Administrator,Kraków,Tak,21000.0
4485,15000.0,20000.0,Google Cloud Platform Administrator,"Kraków, +2 locations",Nie,17500.0
4486,22000.0,28000.0,WebOps Engineer,"Warszawa, +2 locations",Tak,25000.0
4487,15000.0,25000.0,Senior DevOps Engineer,"Kraków, +1 location",Tak,20000.0
4488,9000.0,13000.0,IT Coordinator,Częstochowa,Nie,11000.0
4495,15000.0,20000.0,Remote System Administrator/DevOps,Łódź,Tak,17500.0
4497,15000.0,18000.0,Presales Engineer,Warszawa,Tak,16500.0
4501,12000.0,16000.0,Linux System Administrator,Warszawa,Tak,14000.0
4506,7500.0,10000.0,Junior System Administrator,Kraków,Tak,8750.0
4508,10000.0,14500.0,Regular System Administrator,Kraków,Tak,12250.0
4516,15000.0,20000.0,Middleware Administrator- Lead,Marki,Nie,17500.0
4520,20000.0,22000.0,NetSuite ERP Administrator/Developer,"Warszawa, +2 locations",Tak,21000.0
4522,13200.0,16200.0,Linux System Administrator / SysOps,Kraków,Tak,14700.0
4523,6000.0,11000.0,Młodszy Administrator / Administrator IT,"Wrocław, +3 locations",Tak,8500.0
4524,14000.0,19500.0,Microsoft Administrator / DevOps,Warszawa,Tak,16750.0
4525,16000.0,28000.0,Admin / DevOps with MS Azure,Warszawa,Tak,22000.0
4526,5000.0,10000.0,Support Engineer,"Zielona Góra, +2 locations",Tak,7500.0
4528,5000.0,10000.0,Technical Service Consultant,"Warszawa, +1 location",Tak,7500.0
4535,15000.0,18000.0,Specjalista ds. wdrożeń systemów IT,Warszawa,Nie,16500.0
4536,8000.0,12000.0,Linux Administrator,Gdańsk,Tak,10000.0
4538,15120.0,20160.0,Database Administrator (MSSQL),"Wrocław, +2 locations",Tak,17640.0
4539,9000.0,13000.0,Administrator Zarządzania Core 5G/EPC,Warszawa,Nie,11000.0
4540,5000.0,7000.0,Magik od systemów IT,"Warszawa, +4 locations",Tak,6000.0
4542,8000.0,12000.0,Linux Administrator,Gdańsk,Tak,10000.0
4544,15120.0,20160.0,Database Administrator (MSSQL),"Wrocław, +2 locations",Tak,17640.0
4545,9000.0,13000.0,Administrator Zarządzania Core 5G/EPC,Warszawa,Nie,11000.0
4546,5000.0,7000.0,Magik od systemów IT,"Warszawa, +4 locations",Tak,6000.0
4549,13000.0,19000.0,Jira Specialist,Warszawa,Tak,16000.0
4550,13200.0,16200.0,Linux System Administrator / SysOps,"Łódź, +17 locations",Tak,14700.0
4554,5000.0,9000.0,Junior Administrator,Warszawa,Nie,7000.0
4562,7000.0,9000.0,Junior Cloud System Administrator,Wrocław,Nie,8000.0
4565,8000.0,12000.0,System Administrator,Bielsko-Biała,Nie,10000.0
4566,12000.0,15600.0,Atlassian Admin (Jira/Confluence),Wrocław,Tak,13800.0
4570,5000.0,9000.0,Administrator Systemów IT,"Wrocław, +4 locations",Tak,7000.0
4572,4000.0,6000.0,Junior IT Specialist,Warszawa,Nie,5000.0
4575,13000.0,20000.0,Administrator Baz Danych PostgreSQL,"Katowice, +2 locations",Tak,16500.0
4576,8000.0,11000.0,Administrator Sieci i Systemów,Warszawa,Nie,9500.0
4578,7000.0,14000.0,System Administrator,Łódź,Nie,10500.0
4580,14000.0,20000.0,Head of IT Administration,Warszawa,Nie,17000.0
4582,18000.0,23000.0,M365 Admin/L3 Support (PowerBI),Wrocław,Tak,20500.0
4583,6720.0,10080.0,Linux Engineer,Warszawa,Tak,8400.0
4586,8000.0,16000.0,Administrator systemów IT / DevOps,Rzeszów,Nie,12000.0
4587,9500.0,19000.0,SysOps Engineer,Zabierzów,Nie,14250.0
4588,14000.0,18000.0,Senior System Administrator,"Kraków, +1 location",Nie,16000.0
4589,13600.0,17800.0,Atlassian System Administrator,Wrocław,Tak,15700.0
4590,14000.0,20000.0,Kubernetes Engineer,Szczecin,Tak,17000.0
4591,14000.0,20000.0,Administrator LINUX / Sysadmin,Szczecin,Tak,17000.0
4592,15000.0,17000.0,Microsoft Specialist M365,Katowice,Nie,16000.0
4594,8000.0,12000.0,IT Administrator / Support Specialist,Warszawa,Nie,10000.0
4595,15000.0,20000.0,System Administrator,"Warszawa, +3 locations",Tak,17500.0
4598,15000.0,20000.0,Presales Engineer z językiem niemieckim,Warszawa,Tak,17500.0
4599,15750.0,18900.0,Linux Administrator with DevOps,Kraków,Tak,17325.0
4602,9000.0,14000.0,Administrator IT/Kierownik Zespołu,Poznań,Nie,11500.0
4603,8200.0,12300.0,"Junior Systems Engineer - Linux, Cloud",Gdańsk,Nie,10250.0
4608,13000.0,16000.0,Administrator Linux,Warszawa,Tak,14500.0
4609,7000.0,10000.0,Linux System Administrator,Warszawa,Nie,8500.0
4616,9000.0,14000.0,Administrator Sieci i Systemów IT,"Częstochowa, +1 location",Nie,11500.0
4624,18000.0,27000.0,Senior Cloud Security Engineer,Poznań,Tak,22500.0
4625,16000.0,18000.0,Product Security Engineer,Poznań,Tak,17000.0
4626,16000.0,18000.0,Cloud Security Engineer,Poznań,Tak,17000.0
4628,33600.0,36960.0,Penetration Testing Technical Reviewer,Warszawa,Tak,35280.0
4631,7000.0,9000.0,Junior Cloud Sec&Compliance Engineer,Warszawa,Tak,8000.0
4634,13500.0,24500.0,Information Systems Security Engineer,Warszawa,Nie,19000.0
4636,17000.0,23000.0,Cloud Security Engineer,Kraków,Tak,20000.0
4637,16700.0,26000.0,Senior DevSecOps Engineer,Warszawa,Tak,21350.0
4640,13000.0,17000.0,Network Engineer,Warszawa,Tak,15000.0
4642,14000.0,19000.0,Cloud Security&Compliance Engineer,"Warszawa, +2 locations",Tak,16500.0
4646,15000.0,22000.0,Cloud Security Engineer,"Kraków, +17 locations",Tak,18500.0
4647,14000.0,22000.0,Cloud Compliance Consultant,"Warszawa, +2 locations",Tak,18000.0
4651,24000.0,36000.0,Security Engineer III,Kraków,Nie,30000.0
4655,20000.0,28000.0,Product Security Engineer,"Warszawa, +2 locations",Tak,24000.0
4657,5000.0,7000.0,Junior Pentester,Warszawa,Nie,6000.0
4658,13300.0,24000.0,Vulnerability Manager,Łódź,Nie,18650.0
4659,10000.0,14000.0,Specjalista ds. bezpieczeństwa IT,"Kraków, +1 location",Tak,12000.0
4660,5000.0,7000.0,Junior Security Analyst (SOC L1),Warszawa,Tak,6000.0
4661,25200.0,30000.0,SOC Analyst,Wrocław,Tak,27600.0
4668,25872.0,29232.0,IT Security Consultant (SOAR Siemplify),Warszawa,Nie,27552.0
4674,18000.0,24000.0,Cloud Infrastructure Security Engineer,Warszawa,Tak,21000.0
4675,38000.0,44000.0,Security Penetration Testing QA,Warszawa,Tak,41000.0
4676,13000.0,18000.0,Infrastructure Security Engineer,"Гданьск, +18 locations",Tak,15500.0
4680,32940.0,47520.0,Senior Cloud Security Engineer,"London, +18 locations",Tak,40230.0
4681,3200.0,3500.0,Praktyki w Dep. Global IT - Bezp. Infor.,Warszawa,Nie,3350.0
4682,3200.0,3500.0,Praktyki w Dep. Global IT Security Team,Warszawa,Nie,3350.0
4684,32940.0,47520.0,Senior Cloud Security Engineer,"London, +18 locations",Tak,40230.0
4685,3200.0,3500.0,Praktyki w Dep. Global IT - Bezp. Infor.,Warszawa,Nie,3350.0
4686,3200.0,3500.0,Praktyki w Dep. Global IT Security Team,Warszawa,Nie,3350.0
4688,21840.0,38640.0,Cloud & Network Security Architect,Warszawa,Nie,30240.0
4689,21840.0,38640.0,Cyber Defence Architect,Warszawa,Nie,30240.0
4690,9500.0,19000.0,Cybersecurity Analyst with German,Warszawa,Tak,14250.0
4691,4000.0,8000.0,Junior Cybersecurity with German,Warszawa,Tak,6000.0
4692,13000.0,15000.0,Junior Cyber Threat Analyst,Warszawa,Nie,14000.0
4695,6000.0,9000.0,Mł. specjalista ds. bezpieczeństwa IT,Sopot,Nie,7500.0
4697,12000.0,20000.0,Mł. / Inżynier ds. bezpieczeństwa,Warszawa,Tak,16000.0
4710,11000.0,20000.0,Security Architect,Kraków,Tak,15500.0
4711,5500.0,8800.0,Junior SecOps Specialist,Warszawa,Nie,7150.0
4712,10000.0,14000.0,Business Applications Security Engineer - Inżynier ds. Bezpieczeństwa IT (aplikacje biznesowe),Warszawa,Nie,12000.0
4714,16800.0,25200.0,Konsultant SAP,"Warszawa, +2 locations",Tak,21000.0
4715,10000.0,12000.0,ERP Support Consultant,Gliwice,Tak,11000.0
4716,12000.0,14000.0,Support Engineer,Gliwice,Tak,13000.0
4719,12000.0,17500.0,Programista SAP – ABAP/Fiori,Warszawa,Tak,14750.0
4729,9000.0,15700.0,Salesforce Consultant,"Wrocław, +3 locations",Tak,12350.0
4730,18480.0,23184.0,eCommerce Strategist,Kraków,Nie,20832.0
4731,34000.0,39000.0,SAP Commerce Cloud / Hybris Frontend Dev. for Samsung SDS,"Gdańsk, +1 location",Tak,36500.0
4732,8600.0,12300.0,Specjalista/Konsultant ds. wdrożeń (WMS),Wrocław,Nie,10450.0
4734,8600.0,12300.0,Specjalista/Konsultant ds. wdrożeń (ERP),Wrocław,Tak,10450.0
4736,16000.0,22000.0,SAP MM Application Consultant,Kraków,Tak,19000.0
4741,7000.0,8200.0,Młodszy Programista Aplikacji Biznesowych,Wrocław,Nie,7600.0
4744,25000.0,30000.0,SAP FI/CO Consultant,"Łódź, +2 locations",Tak,27500.0
4746,14000.0,19000.0,Senior SAP FI/CO Konsultant,Kraków,Nie,16500.0
4748,6000.0,10000.0,Junior SAP Cloud Consultant,Wrocław,Nie,8000.0
4749,8000.0,16000.0,SAP ABAP Developer,"Katowice, +2 locations",Nie,12000.0
4752,7000.0,8200.0,Młodszy Programista SQL,Wrocław,Nie,7600.0
4754,10000.0,20000.0,IT Service Management Expert,"Kraków, +1 location",Tak,15000.0
4763,15000.0,20000.0,SAP B1 Implementations Consultant,"Park West, +19 locations",Tak,17500.0
4785,11000.0,16000.0,SAP Integration Consultant,Wrocław,Tak,13500.0
4786,4000.0,6000.0,Junior Consultant (Logistic or Finance),"Wrocław, +2 locations",Nie,5000.0
4789,20800.0,28800.0,SAP TM Consultant,"Warszawa, +2 locations",Tak,24800.0
4790,12000.0,20000.0,Senior SAP BW/BI Consultant,"Wrocław, +2 locations",Tak,16000.0
4791,13000.0,20500.0,SAP Consultant MM/WM/EWM,"Wrocław, +2 locations",Tak,16750.0
4795,20800.0,28800.0,SAP TM Consultant,"Warszawa, +2 locations",Tak,24800.0
4796,12000.0,20000.0,Senior SAP BW/BI Consultant,"Wrocław, +2 locations",Tak,16000.0
4797,13000.0,20500.0,SAP Consultant MM/WM/EWM,"Wrocław, +2 locations",Tak,16750.0
4800,8500.0,9500.0,Konsultant Microsoft Dynamics 365 BC,Poznań,Nie,9000.0
4801,10000.0,16000.0,Salesforce Administrator,"Wrocław, +2 locations",Tak,13000.0
4802,15000.0,25000.0,Senior Salesforce Developer,"Kraków, +1 location",Tak,20000.0
4803,18000.0,25000.0,Salesforce Enterprise Solution Architect,"Kraków, +1 location",Tak,21500.0
4807,12000.0,20000.0,Salesforce Business Analyst,"Wrocław, +2 locations",Tak,16000.0
4808,6000.0,9000.0,Junior SAP Business One Consultant,Warszawa,Nie,7500.0
4811,20000.0,22000.0,Senior Software Developer C++ - FinTech,Kraków,Tak,21000.0
4812,15000.0,27000.0,Senior C++ Developer,"Poznań, +2 locations",Tak,21000.0
4814,21840.0,26880.0,C++ Developer,"Warszawa, +2 locations",Tak,24360.0
4818,5000.0,8500.0,Junior Software Engineer,Warszawa,Nie,6750.0
4819,9000.0,18000.0,C++ Developer(Mid/ Regular),"Kraków, +1 location",Tak,13500.0
4820,5000.0,8500.0,Junior Engineer - Distributed systems,Warszawa,Nie,6750.0
4821,8000.0,14000.0,Programista Embedded,Bielsko-Biała,Nie,11000.0
4822,16000.0,25000.0,Software Developer,Warszawa,Tak,20500.0
4823,5000.0,8000.0,C++ Developer (POS) (Junior),Kraków,Tak,6500.0
4825,19000.0,24000.0,C++ Developer,"Warszawa, +2 locations",Tak,21500.0
4826,18000.0,24000.0,C++ Developer,Wrocław,Tak,21000.0
4827,5500.0,8500.0,Junior Software Engineer C/C++,Komorniki,Nie,7000.0
4829,15000.0,20000.0,FullStack Xamarin Developer,"Łódź, +2 locations",Tak,17500.0
4830,5000.0,9000.0,Junior Developer C,Warszawa,Nie,7000.0
4831,,,Staż - Programista C,Warszawa,Nie,
4832,7500.0,10000.0,Programista C++,"Kraków, +4 locations",Tak,8750.0
4833,6500.0,8000.0,Młodszy konsultant,"Poznań, +3 locations",Nie,7250.0
4834,5000.0,9000.0,Junior Software Engineer,Warszawa,Nie,7000.0
4835,5000.0,8000.0,Embedded Software Developer (Junior),Poznań,Nie,6500.0
4837,5000.0,7000.0,Junior Embedded C Developer,Gdańsk,Nie,6000.0
4838,5000.0,7000.0,Junior Embedded C Developer,Gdańsk,Nie,6000.0
4839,5000.0,9000.0,Junior Embedded Systems Developer,Gdańsk,Nie,7000.0
4840,5000.0,7000.0,Junior Embedded Systems Developer,Gdańsk,Nie,6000.0
4845,,,Praktyki w zespole SDN - C++ Developer,Warszawa,Tak,
4846,30660.0,34840.0,Low level engineer (C++ / Rust / Go),"Berlin, +2 locations",Nie,32750.0
4847,8000.0,9000.0,Młodszy programista Enova,Warszawa,Tak,8500.0
4848,23500.0,25200.0,Tester Embedded C/C++,Katowice,Nie,24350.0
4849,12000.0,24000.0,Rust Software Engineer,Wrocław,Tak,18000.0
4850,7000.0,13000.0,Junior Software Engineer C,Warszawa,Tak,10000.0
4851,12000.0,18000.0,C++ Developer with Linux,"Warszawa, +4 locations",Tak,15000.0
4853,22000.0,23500.0,Programista C/C++,Katowice,Tak,22750.0
4854,16000.0,24000.0,C++ Computer Vision Engineer,"Wrocław, +2 locations",Tak,20000.0
4855,16700.0,26600.0,Senior Software Engineer,Łódź,Nie,21650.0
4856,16000.0,24000.0,C++ Engineer,"Wrocław, +2 locations",Tak,20000.0
4857,21100.0,32000.0,Autosar Security Specialist,Łódź,Nie,26550.0
4859,10000.0,18000.0,Senior C / Linux Developer,"Łódź, +2 locations",Tak,14000.0
4860,22000.0,29000.0,Senior C++ Computer Vision Developer,"Kraków, +2 locations",Tak,25500.0
4861,10000.0,17300.0,Autosar Developer,Łódź,Nie,13650.0
4863,5300.0,8000.0,Junior Embedded C++ Developer,Łódź,Nie,6650.0
4864,10000.0,14000.0,Software Engineer,Gdynia,Nie,12000.0
4866,6600.0,8900.0,Software Engineer,Poznań,Nie,7750.0
4867,15600.0,24266.0,C++ developer,Poznań,Tak,19933.0
4868,6600.0,8900.0,C++ Developer,Poznań,Nie,7750.0
4871,15000.0,18480.0,C++ Developer,Warszawa,Tak,16740.0
4875,30000.0,40000.0,Senior Software Engineer with C++,Warszawa,Tak,35000.0
4876,16800.0,21840.0,Embedded Software Engineer MID/Senior,Wrocław,Tak,19320.0
4877,5000.0,8000.0,Junior C# Developer,Wrocław,Nie,6500.0
4879,,,Stażysta/ka Career Starter,"Poznań, +3 locations",Nie,
4880,5000.0,8000.0,Junior C++ Developer,Wrocław,Nie,6500.0
4881,5000.0,8000.0,Junior C# Web Developer,Wrocław,Nie,6500.0
4882,33000.0,37000.0,Rust Developer Web3 (REMOTE),"Warszawa, +1 location",Tak,35000.0
4883,36180.0,40700.0,Senior Embedded Software Engineer,Zürich,Nie,38440.0
4896,9800.0,17300.0,C++ Developer,Łódź,Nie,13550.0
4897,12000.0,20000.0,Blockchain C++ Deweloper,"Dąbrowa Górnicza, +2 locations",Tak,16000.0
4898,13300.0,24000.0,Senior Software Developer,Łódź,Nie,18650.0
4899,13300.0,24000.0,C++ Developer (Mid/Senior),Łódź,Nie,18650.0
4900,9000.0,18000.0,Fullstack Software Developer,Szczecin,Tak,13500.0
4901,9000.0,18000.0,Web Software Developer {TypeScript},Szczecin,Tak,13500.0
4902,9500.0,19000.0,Programista FPGA systemów Embedded,Warszawa,Nie,14250.0
4903,12000.0,20000.0,Programista C++,Bielsko-Biała,Tak,16000.0
4904,13300.0,24000.0,Mid/Senior Software Engineer,Łódź,Nie,18650.0
4905,23000.0,27000.0,Technical Leader (embedded C & C++),"Wrocław, +3 locations",Nie,25000.0
4906,7400.0,10700.0,Junior Software Engineer,Łódź,Nie,9050.0
4907,14000.0,20000.0,Embedded C\C++ Software Developer,Wrocław,Tak,17000.0
4908,10000.0,17000.0,Programista C/C++,Warszawa,Nie,13500.0
4909,8500.0,17000.0,Embedded Systems Engineer Regular/Senior,Gdańsk,Nie,12750.0
4910,30000.0,45100.0,Senior C++ Developer (QT),"Warszawa, +2 locations",Tak,37550.0
4911,16000.0,24000.0,Senior C++ Software Engineer,Gdańsk,Nie,20000.0
4912,13000.0,22000.0,Linux C Engineer,"Wrocław, +2 locations",Tak,17500.0
4916,19000.0,29000.0,C++ Developer,Kraków,Tak,24000.0
4917,8000.0,9000.0,Junior C# Developer,Warszawa,Tak,8500.0
4922,8000.0,12000.0,Junior Software Engineer,Wrocław,Nie,10000.0
4923,16700.0,26600.0,Embedded Principal Software Engineer,Łódź,Nie,21650.0
4924,10000.0,15000.0,Embedded Software Engineer,Wrocław,Nie,12500.0
4926,22000.0,32000.0,Embedded C++ Software Engineer,"Katowice, +2 locations",Tak,27000.0
4927,9000.0,14500.0,R&D Software Engineer,Wrocław,Nie,11750.0
4928,17000.0,20000.0,Team Leader (Embedded),Katowice,Nie,18500.0
4929,28000.0,42000.0,Senior Software Engineer,Warszawa,Tak,35000.0
4930,19000.0,27000.0,Senior Software Engineer C,Warszawa,Tak,23000.0
4932,21000.0,27000.0,"Sr Software Engineer, Rust/C","Katowice, +18 locations",Tak,24000.0
4933,20160.0,26880.0,Lead C/C++ Developer,"Szczecin, +4 locations",Nie,23520.0
4935,12000.0,17000.0,R&D Software Engineer C++,Warszawa,Tak,14500.0
4936,10000.0,14000.0,Mid C# Developer,Warszawa,Tak,12000.0
4937,14000.0,18000.0,Senior C# Developer,"Białystok, +1 location",Tak,16000.0
4938,5000.0,9000.0,Programista FPGA systemów Embedded,Warszawa,Nie,7000.0
4940,20000.0,28000.0,Senior Backend Engineer (Rust),"Kraków, +2 locations",Tak,24000.0
4942,8000.0,15000.0,"Software Engineer (C++, Mid+)","Słupsk, +1 location",Nie,11500.0
4944,8000.0,15000.0,Embedded Developer,Warszawa,Nie,11500.0
4945,9500.0,19000.0,Remote C++ Developer,Łódź,Tak,14250.0
4946,8780.0,13180.0,AR Unity Developer,"Nicosia, +2 locations",Tak,10980.0
4947,15000.0,30000.0,"Engineering Manager, Backend (Remote)",Wien,Tak,22500.0
4948,15000.0,30000.0,Senior Backend Developer (Fully Remote),Wien,Tak,22500.0
4949,13180.0,17570.0,Unity/C# Developer,"Nicosia, +2 locations",Tak,15375.0
4951,24000.0,32000.0,Senior Software Engineer- Embedded Linux,Kraków,Nie,28000.0
4953,18500.0,23500.0,Embedded Engineer,"Warszawa, +2 locations",Tak,21000.0
4954,20000.0,28500.0,C++ Software Engineer,"Katowice, +2 locations",Tak,24250.0
4955,14000.0,18000.0,"Programista CC+, EMBEDDED / Robotyk","Warszawa, +2 locations",Nie,16000.0
4956,9750.0,15000.0,PROGRAMISTA SYSTEMÓW WBUDOWANYCH,Warszawa,Nie,12375.0
4957,20000.0,28000.0,Mid C++ Developer,"Warszawa, +5 locations",Tak,24000.0
4958,14000.0,24000.0,C++ Software Engineer (Mid/Senior),"Warszawa, +2 locations",Nie,19000.0
4959,10000.0,20000.0,C/C++ Engineer,Kraków,Tak,15000.0
4960,16800.0,26880.0,Mid Embedded Software Engineer,"Kraków, +2 locations",Nie,21840.0
4961,14000.0,22000.0,Programista C++,Bielsko-Biała,Tak,18000.0
