nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Technical Support Engineer (Cloud),"Wrocław, +1 location",Nie,9 240,13 440
Technical/Production Support Engineer,"Kraków, +6 locations",Tak,Brak danych,Brak danych
Junior Helpdesk Specialist,Warszawa,Nie,Brak danych,Brak danych
Specjalista ds. Wsparcia IT,Warszawa,Nie,Brak danych,Brak danych
Specjalista Wsparcia Bezpośredniego,Wrocław,Nie,4 000,4 500
Junior Tech Support Engineer (German),Poznań,Nie,Brak danych,Brak danych
Technical Support Engineer (with German),Poznań,Nie,Brak danych,Brak danych
IT Systems Integration Specialist (WS),"Warszawa, +3 locations",Nie,8 000,15 000
IT Systems Integration Specialist (SQL),"Warszawa, +4 locations",Nie,8 000,15 000
Helpdesk Manager,Poznań,Nie,Brak danych,Brak danych
System Administrator,Kraków,Nie,Brak danych,Brak danych
Młodszy Specjalista IT,Pabianice,Nie,Brak danych,Brak danych
Technical Consultant,Warszawa,Nie,10 000,13 000
Technical Service Manager,Kraków,Tak,20 000,25 000
Helpdesk Technician,Łódź,Nie,4 000,6 000
Staż do Działu Helpdesk,Kraków,Nie,Brak danych,Brak danych
Helpdesk/Incident Specialist,"Warszawa, +2 locations",Tak,5 500,6 000
IT 1st Line Support,Mierzyn,Nie,Brak danych,Brak danych
Technical Account Manager (APAC),"Warszawa, +14 locations",Tak,8 000,12 500
Doradca Klienta z językiem niemieckim,Opole,Nie,5 500,6 500
Java Developer,"Łódź, +1 location",Tak,21 800,25 200
CRM Support Engineer for Salesforce,Gdynia,Nie,Brak danych,Brak danych
Marketing Automation Support Engineer,Gdynia,Nie,Brak danych,Brak danych
Application Support Engineer,"Gliwice, +2 locations",Tak,6 000,9 000
Junior Production Support Engineer,Kraków,Nie,7 000,9 000
Infrastructure Software Engineer,"Amsterdam, +1 location",Nie,32 520,37 160
System Reliability Engineer,"Amsterdam, +1 location",Nie,32 520,37 160
Integration Support Specialist,Warszawa,Nie,Brak danych,Brak danych
B2B Support Specialist,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Atlassian Support Engineer,Kraków,Tak,13 000,19 000
Release Support Engineer,Kraków,Tak,15 000,21 000
Jira Service Desk Technical Specialist,Kraków,Tak,15 000,20 000
Proxy Support Specialist (L3),Kraków,Tak,17 000,21 000
Production Support Senior Specialist,Kraków,Tak,18 000,20 000
Technical Consultant,Gdańsk,Nie,10 000,20 000
Customer Software Engineer,"Wrocław, +2 locations",Tak,13 000,17 000
Absolwent z językiem niemieckim,Opole,Nie,5 500,6 500
IT Support Engineer,Wrocław,Nie,9 000,13 000
Technology Business Consultant,Wrocław,Nie,Brak danych,Brak danych
IT Support Engineer,Wrocław,Nie,7 000,9 000
Support Specialist,Gdańsk,Nie,Brak danych,Brak danych
Consultants Team Leader,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Technical support,"Warszawa, +2 locations",Tak,10 000,11 500
QA Engineer,"Wrocław, +2 locations",Tak,11 000,18 000
Koordynator ds. Support/Helpdesk,Poznań,Nie,7 000,10 000
Junior Incident controller,Kraków,Tak,6 000,8 000
Incident controller,Kraków,Tak,7 000,9 000
IT Support Specialist,Łódź,Nie,4 000,6 000
Support Engineer,Warszawa,Tak,Brak danych,Brak danych
Technology Specialist - Connectivity Eng,Kraków,Nie,Brak danych,Brak danych
