nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Administrator Sieci,Rzeszów,Nie,8 000,14 000
Administrator sieci/firewall,Kraków,Nie,8 000,13 000
Operator Systemów IT,Warszawa,Nie,Brak danych,Brak danych
Lead Oracle Database Administrator,Warszawa,Nie,Brak danych,Brak danych
Administrator Systemów IT,Łódź,Nie,6 000,8 000
EMBEDDED SOFTWARE ENGINEER,Gdynia,Nie,Brak danych,Brak danych
SENIOR SOFTWARE QUALITY ENGINEER,Gdynia,Nie,Brak danych,Brak danych
Administrator Systemów IT,Warszawa,Nie,Brak danych,Brak danych
Specjalista ds. Utrzymania Systemów IT,Warszawa,Tak,7 000,14 000
Administrator Sieci,Sopot,Nie,Brak danych,Brak danych
Junior Application Administrator,Sopot,Tak,Brak danych,Brak danych
Specjalista ds. IT,"Křepice, +2 locations",Nie,Brak danych,Brak danych
Middleware Administrator,Kraków,Tak,15 000,22 000
System Engineer Windows,Gdynia,Nie,Brak danych,Brak danych
Service Manager/Dynatrace Administrator,Gdynia,Nie,Brak danych,Brak danych
Administrator SAP BASIS,Wrocław,Nie,Brak danych,Brak danych
Atlassian Administrator / SME,Kraków,Tak,13 000,19 000
System Administrator,"Łódź, +2 locations",Nie,8 400,15 200
System Administrator,Warszawa,Nie,12 000,16 000
Webmethods Engineer,"Warszawa, +2 locations",Tak,19 540,29 020
JIRA Implementation Specialist,"Kraków, +2 locations",Tak,9 560,17 500
ServiceNow Technical Administrator,Kraków,Tak,15 000,21 000
Senior Oracle Database Administrator,Kraków,Tak,19 000,23 000
Junior IT Administrator,Warszawa,Nie,4 000,7 000
MQ Specialist,Kraków,Tak,20 000,24 000
Websphere Administrator,Kraków,Tak,15 000,22 000
Site Reliability Engineer,Wrocław,Tak,24 000,28 800
Administrator IT,"Zaścianki, +1 location",Nie,7 700,9 200
Administrator Systemów IT,Warszawa,Nie,Brak danych,Brak danych
Office IT Administrator,Poznań,Nie,4 000,7 000
IT Administrator Intern,Kraków,Nie,Brak danych,Brak danych
SaaS Platforms Engineer,"Poznań, +1 location",Tak,8 000,15 000
Virtualization Engineer/Manager,Warszawa,Tak,19 000,24 000
Junior IT Admin,Warszawa,Nie,5 500,6 800
System and Network Administrator,Warszawa,Nie,9 000,14 000
Systems Engineer,Kraków,Nie,8 400,14 500
Administrator,Łódź,Nie,5 000,8 000
Technology Specialist - Cloud & Hosting,Kraków,Nie,Brak danych,Brak danych
Administrator Exchange,Warszawa,Nie,Brak danych,Brak danych
Administrator Sieci,Knurów,Nie,6 000,11 000
ADMINISTRATOR SYSTEMÓW WIRTUALNYCH,Warszawa,Nie,Brak danych,Brak danych
Administrator Aplikacji,Wrocław,Tak,Brak danych,Brak danych
Administrator Windows i rozw. Microsoft,Wrocław,Nie,Brak danych,Brak danych
Junior Software Developer Academy,Wrocław,Nie,Brak danych,Brak danych
Application Administrator,"Bydgoszcz, +17 locations",Tak,Brak danych,Brak danych
IT Administration Specialist,Warszawa,Nie,Brak danych,Brak danych
IT Administrator,München,Nie,19 280,25 080
Junior IT Administrator,Łódź,Nie,Brak danych,Brak danych
SQL Server Database Admin,Warszawa,Tak,Brak danych,Brak danych
Linux Administrator,Kraków,Nie,7 000,12 000
Administrator Systemów i Sieci,Wrocław,Nie,Brak danych,Brak danych
Admin / SysOps / DevOps,Kraków,Tak,8 000,12 000
Linux Administrator,Warszawa,Tak,6 720,10 080
UNIX/LINUX Senior Specialist,Kraków,Tak,16 000,18 000
Administrator Systemów,Katowice,Tak,10 000,15 000
Administrator serwerów aplikacyjnych,Warszawa,Nie,Brak danych,Brak danych
Oracle Database Administrator,Kraków,Tak,14 000,16 000
Administrator Baz Danych,Wrocław,Nie,Brak danych,Brak danych
ServiceNow Administrator,Warszawa,Nie,Brak danych,Brak danych
Administrator Systemów i Aplikacji,Warszawa,Nie,12 600,15 000
Inżynier (Sieć Pakietowa),Warszawa,Nie,Brak danych,Brak danych
Administrator systemów serwerowych,Katowice,Nie,5 500,10 000
Administrator Jira,Warszawa,Nie,Brak danych,Brak danych
Linux Administrator,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Senior Citrix Technical Administrator,Kraków,Nie,18 000,22 000
Remote Linux/Windows Administrator,"Lublin, +2 locations",Tak,18 000,24 000
Administrator ds. utrzymania systemów IT,Gdańsk,Nie,9 000,10 000
Inżynier (Sieć Pakietowa),Warszawa,Nie,Brak danych,Brak danych
Administrator systemów serwerowych,Katowice,Nie,5 500,10 000
Administrator Jira,Warszawa,Nie,Brak danych,Brak danych
