nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Python Developer,"Kraków, +2 locations",Tak,11 000,18 000
Python Developer,"Kraków, +3 locations",Tak,8 000,14 000
Linux Scripting Engineer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Tech Lead (Python),"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Power BI Engineer,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Python Software Engineer,"Łódź, +5 locations",Nie,10 000,20 000
Senior Python Core Developer,Warszawa,Nie,20 000,28 000
Python Engineer,"Kraków, +1 location",Tak,23 000,28 000
NLP Engineer (mid / senior),Warszawa,Tak,Brak danych,Brak danych
Python Software Engineer in Security,Warszawa,Tak,16 500,27 000
Python Developer,Wrocław,Nie,14 600,22 700
Senior Python Engineer,"Warszawa, +1 location",Tak,14 000,19 000
Junior Python Developer,Gliwice,Nie,4 000,8 000
Python Developer,"Sopot, +2 locations",Tak,17 400,24 400
Regular / Senior Python Developer,Warszawa,Tak,25 000,30 000
System Engineer - PTO,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Team Leader - Python Developer,Wrocław,Nie,24 000,26 000
Administrator Linux,Warszawa,Tak,Brak danych,Brak danych
Python Developer,Kraków,Tak,6 500,11 500
Python Developer,Warszawa,Tak,Brak danych,Brak danych
Senior Python Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Python Backend Developer,Warszawa,Tak,12 000,18 000
Junior Python Developer,Mysłowice,Nie,6 000,9 000
Python Engineer,Warszawa,Tak,20 000,26 000
Senior Backend Developer,Kraków,Nie,Brak danych,Brak danych
Software Automation Engineer,Kraków,Tak,22 000,25 000
Mid Backend Developer,Kraków,Nie,Brak danych,Brak danych
Mid/Senior Big Data Engineer,Wrocław,Tak,Brak danych,Brak danych
"SEO Developer (PHP, Python lub JS)",Katowice,Tak,8 000,12 000
Python Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Senior Python Developer,"Wrocław, +7 locations",Tak,16 800,25 200
Python Developer,"Kraków, +2 locations",Tak,15 000,23 000
IT Specialist,Warszawa,Nie,6 000,9 000
Senior Python Developer,Warszawa,Tak,17 600,23 000
Python Backend Developer,Wrocław,Nie,14 000,25 000
C Embedded Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Machine Learning Engineer,Gdańsk,Tak,Brak danych,Brak danych
Team Leader/Senior Python in Crypto,Wrocław,Nie,18 000,26 000
Machine Learning Software Engineer,Kraków,Tak,15 000,20 000
Backend Developer,"Kraków, +1 location",Tak,13 000,16 000
Release Infrastructure Engineer,Warszawa,Nie,25 000,50 000
Software Engineer in Test,"Warszawa, +1 location",Tak,15 500,22 000
QA Team Lead,Warszawa,Nie,15 000,25 000
Senior Software Enginee-Execution Engine,Kraków,Tak,Brak danych,Brak danych
"DevOps Engineer (GCP, Python)",Wrocław,Tak,24 000,28 000
Senior Software Engineer,Warszawa,Nie,12 000,18 000
Junior Software Engineer,Warszawa,Nie,4 000,8 000
Python Team Developer,"Białystok, +2 locations",Tak,12 000,21 000
Programista Python,Warszawa,Nie,8 000,16 000
Python Developer,Warszawa,Tak,14 000,18 000
Tests & Automation,Herclijja,Nie,Brak danych,Brak danych
Senior Cloud Engineer,"Warszawa, +2 locations",Tak,24 000,28 000
DevOps Engineer,Warszawa,Tak,24 000,28 000
Java Software Engineer (Full Stack),Madrid,Tak,22 000,25 000
Python Developer,"Warszawa, +2 locations",Tak,22 000,30 000
Senior Computer Vision Engineer,Lublin,Tak,21 000,24 000
Python Mid Developer- Remote/Wroclaw,Wrocław,Tak,10 000,16 000
Search Engineer,Warszawa,Tak,Brak danych,Brak danych
Staff Machine Learning Developer,"Kraków, +1 location",Tak,23 000,28 000
Senior Machine Learning Developer,"Wrocław, +1 location",Tak,19 000,23 000
Staff Backend Developer,"Wrocław, +1 location",Tak,23 000,28 000
Python Developer,"Wrocław, +1 location",Tak,13 000,16 000
Senior Developer (Backend),"Wrocław, +1 location",Tak,19 000,23 000
Python Developer,Gdańsk,Tak,14 000,26 000
Search Engineer,Warszawa,Tak,Brak danych,Brak danych
Staff Machine Learning Developer,"Kraków, +1 location",Tak,23 000,28 000
Senior Machine Learning Developer,"Wrocław, +1 location",Tak,19 000,23 000
Staff Backend Developer,"Wrocław, +1 location",Tak,23 000,28 000
Python Developer,"Wrocław, +1 location",Tak,13 000,16 000
Senior Developer (Backend),"Wrocław, +1 location",Tak,19 000,23 000
Python Developer,Gdańsk,Tak,14 000,26 000
Python Cloud (AWS) Developer,"Wrocław, +2 locations",Tak,14 000,20 100
Senior IT Tester,Warszawa,Tak,13 000,26 000
Mid Python Developer,Wrocław,Tak,11 000,19 000
Python Tech Lead,"Kraków, +1 location",Tak,22 000,29 970
Software Developer,Hinxton,Nie,,
Python Developer (100% Remote),"Katowice, +1 location",Tak,15 000,24 000
5G RAN Test Automation Engineer,Kraków,Nie,Brak danych,Brak danych
5G RAN Trial Test Engineer,Kraków,Nie,Brak danych,Brak danych
Junior Full Stack Developer,Kraków,Tak,7 000,10 000
Full Stack Developer (React + Python),"Kraków, +2 locations",Tak,17 400,23 900
Junior BigData Apps Engineer-GoogleAzure,Warszawa,Tak,Brak danych,Brak danych
Principal Python Engineer,"Warszawa, +18 locations",Tak,24 000,27 500
Junior It Specialist,Poznań,Nie,Brak danych,Brak danych
Data Engineer,"Kraków, +2 locations",Tak,18 480,24 000
Data Science Engineer Python Developer,"Poznań, +6 locations",Tak,Brak danych,Brak danych
Junior Python Developer,"Poznań, +17 locations",Tak,6 500,9 000
Devops Engineer,"Warszawa, +2 locations",Tak,24 000,28 800
Data Science Engineer Python Developer,"Katowice, +4 locations",Tak,Brak danych,Brak danych
Junior Python Developer,Warszawa,Tak,8 000,9 000
Senior Python Developer,Wrocław,Tak,18 000,24 500
Remote Backend Python Developer,"Kraków, +2 locations",Tak,15 000,20 000
Junior Python Developer,Kraków,Tak,5 500,7 500
Python / SQL Oracle Developer,Kalisz,Nie,Brak danych,Brak danych
Middle/Senior Python Developer (Golang),"Warszawa, +2 locations",Tak,20 000,22 000
Python Developer,"Kraków, +2 locations",Tak,12 000,21 000
Machine Learning Engineer,Warszawa,Tak,25 000,35 000
Fullstack developer (Python/Angular 8+),Gdańsk,Tak,16 000,22 000
Senior Python Developer,Wrocław,Tak,15 120,25 200
Back-End Engineer(Experimentation Squad),"Kraków, +3 locations",Tak,Brak danych,Brak danych
Python Developer,"Wieliczka, +2 locations",Tak,8 000,15 120
Python Developer,Warszawa,Nie,8 000,12 000
Python Developer,"Gliwice, +18 locations",Tak,Brak danych,Brak danych
Machine Learning Engineer,"Warszawa, +2 locations",Tak,30 750,39 530
Junior Data Engineer,Warszawa,Nie,Brak danych,Brak danych
Senior Backend/Data Engineer,"Warszawa, +2 locations",Tak,39 530,57 100
Senior Python Engineer,Warszawa,Tak,20 000,30 000
Python Engineer #AWS,Warszawa,Tak,14 000,22 000
Python Engineer,Kraków,Nie,13 500,20 000
Python Developer (Produkt Saas),"Poznań, +2 locations",Tak,11 000,16 000
Senior Python Backend Engineer,"Warszawa, +2 locations",Tak,21 750,26 000
Fullstack Developer (Django+Angular),Wrocław,Nie,11 000,16 000
Staff Backend Software Engineer,"Warszawa, +2 locations",Tak,65 880,83 450
Sr. Data Scientist,"Warszawa, +3 locations",Tak,12 000,24 000
Python Developer,Łódź,Tak,12 000,16 000
Machine Learning Engineer,"Wrocław, +2 locations",Tak,16 000,22 000
Python Developer,"Sopot, +2 locations",Tak,8 000,14 000
Senior Data Scientist,Warszawa,Nie,Brak danych,Brak danych
Senior Python Developer,Wrocław,Tak,Brak danych,Brak danych
