nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Staff Software Engineer,Zabierzów,Nie,Brak danych,Brak danych
"Senior Engineer, C# Angular","Kraków, +2 locations",Nie,14 000,17 000
Full-Stack Software Engineer,Kraków,Tak,14 500,20 500
Mid/Regular .NET Developer,"Warszawa, +1 location",Tak,8 000,10 000
Młodszy Programista .NET,"Warszawa, +2 locations",Tak,4 200,6 000
Senior .NET Developer,"Warszawa, +1 location",Tak,8 000,15 000
.NET Fullstack Developer,"Złotów, +2 locations",Tak,Brak danych,Brak danych
Remote .NET / Angular Developer,"Gdańsk, +2 locations",Tak,14 000,20 000
Programista - Analityk .Net / MS SQL,Warszawa,Nie,14 000,23 000
.NET Developer - Digital Banking,Warszawa,Nie,16 000,23 000
Senior Fullstack .NET Developer,"Kraków, +18 locations",Tak,18 000,22 000
Azure .NET Developer,"Wrocław, +2 locations",Tak,16 000,29 000
Senior .NET Software System Engineer,"Gliwice, +3 locations",Nie,10 800,19 400
Backend Engineer (.NET core / .NET 6),Kraków,Tak,16 000,20 000
Mid .Net Developer,Wrocław,Nie,15 000,20 000
Senior .Net Developer,Wrocław,Nie,20 000,25 000
Senior .Net Developer,Kraków,Tak,17 000,25 000
Software Engineer (.NET) - Allegro Pay,Warszawa,Nie,12 500,17 000
Team Leader (.NET)-Allegro Pay,"Poznań, +1 location",Nie,18 000,26 000
Data Warehouse Developer,Wrocław,Nie,15 370,21 960
Programista .NET (Mid),Warszawa,Tak,8 000,16 000
Senior Software Engineer .NET,"Kraków, +2 locations",Tak,16 940,20 570
Software Developer,Gdańsk,Nie,13 500,18 500
.NET Developer (Mid lub Senior),Kraków,Tak,23 500,30 500
Junior .NET Developer (Desktop),Łódź,Nie,6 000,11 000
FullStack .NET Developer - React,"Warszawa, +2 locations",Tak,23 000,27 000
.NET Developer (Desktop),Łódź,Nie,8 500,16 000
"Backend Developer (.net Core, AWS)",Warszawa,Tak,23 520,26 880
Senior .Net Developer,"Warszawa, +2 locations",Tak,21 840,25 200
Remote software developer,Warszawa,Tak,Brak danych,Brak danych
Team Leader - .NET Developer,Wrocław,Nie,24 000,26 000
.Net Developer,Kraków,Tak,18 000,24 000
Fullstack Developer,Warszawa,Tak,17 000,21 000
.NET Developer,Warszawa,Tak,16 800,25 200
Senior .Net Developer,Wrocław,Nie,25 000,30 000
Junior .Net Developer,Warszawa,Nie,7 500,11 000
.Net Engineer,Warszawa,Nie,15 000,23 000
Junior .Net Developer,Gdańsk,Tak,6 000,10 000
.Net Solution Architect,Wrocław,Tak,26 350,35 140
Full Stack Engineer (C# + Javascript),"Warszawa, +2 locations",Tak,21 000,30 000
Programista junior .NET,Katowice,Nie,Brak danych,Brak danych
Remote DevOps Engineer,"Łódź, +2 locations",Tak,23 000,27 000
.Net Developer,Warszawa,Nie,18 000,23 000
STAŻ W ZESPOLE PROGRAMISTYCZNYM .NET,Toruń,Nie,Brak danych,Brak danych
C# Developer,Warszawa,Tak,12 000,15 000
"Senior Software Engineer (C#, REMOTE)",Warszawa,Tak,30 000,40 000
Backend Developer bez doświadczenia,Wrocław,Nie,5 000,8 000
Programista .NET (junior/mid),Białystok,Nie,Brak danych,Brak danych
.NET Developer,Wrocław,Nie,Brak danych,Brak danych
Software Developer C# .Net SQL,Wrocław,Nie,18 000,20 000
Experienced .NET Developer,Warsaw,Nie,Brak danych,Brak danych
Junior Software Developer,Katowice,Nie,5 000,9 000
Senior .NET Developer,Gliwice,Tak,17 600,22 400
Software Engineer (.Net) - mid/senior,Kraków,Nie,22 500,28 500
Backend Software Developer (.NET),"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Fullstack Developer,"Łódź, +2 locations",Tak,7 000,14 000
Regular .NET Developer,Warszawa,Tak,9 000,18 000
Sitecore Developer,Poznań,Nie,Brak danych,Brak danych
Junior .NET Developer (Windows),Warszawa,Nie,Brak danych,Brak danych
C# Developer,"Zabrze, +2 locations",Tak,20 000,30 000
Software Implementation Consultant,Kraków,Nie,9 000,15 000
Senior .NET Fullstack Developer,Kraków,Tak,18 000,24 000
Regular .NET Developer,Warszawa,Tak,9 000,18 000
Sitecore Developer,Poznań,Nie,Brak danych,Brak danych
Junior .NET Developer (Windows),Warszawa,Nie,Brak danych,Brak danych
C# Developer,"Zabrze, +2 locations",Tak,20 000,30 000
Software Implementation Consultant,Kraków,Nie,9 000,15 000
Senior .NET Fullstack Developer,Kraków,Tak,18 000,24 000
Senior Fullstack .NET Developer (Remote),Warszawa,Tak,23 000,26 000
Senior SQL+ .NET Engineer,Kraków,Tak,10 000,19 000
.NET Fullstack Developer,Kraków,Tak,12 000,17 000
Web developer,"Kraków, +2 locations",Tak,13 000,20 000
.NET Developer,"Katowice, +1 location",Nie,7 000,11 000
C# Full Stack Developer,Gdańsk,Tak,13 750,25 300
.Net Developer,"Poznań, +2 locations",Nie,Brak danych,Brak danych
Senior / Lead .NET Developer (React),"Gliwice, +2 locations",Tak,15 697,24 526
Senior .NET Developer (Fullstack),"Gliwice, +2 locations",Tak,15 697,24 526
Fullstack .NET Developer,Kraków,Tak,14 000,18 000
Mid .NET Developer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Senior Fullstack .NET Developer,"Kraków, +2 locations",Tak,18 000,25 000
.Net Core Developer,"Warszawa, +2 locations",Tak,13 000,19 000
Medium .NET Developer (Fullstack),Gliwice,Tak,11 250,17 578
Junior Fullstack .NET/React Developer,"Łódź, +1 location",Tak,5 000,9 000
Senior .NET Developer,"Kraków, +2 locations",Tak,18 000,23 000
Programista .NET,"Warszawa, +2 locations",Tak,12 000,15 000
Senior .NET Core Developer,"Wrocław, +2 locations",Tak,18 500,22 500
Software Engineering Lead,"Warsaw, +8 locations",Tak,22 000,27 000
Middle .NET Core Developer,"Wrocław, +2 locations",Tak,13 500,17 500
.NET Developer,Warszawa,Tak,20 000,25 000
.NET Principal Engineer / Tech Lead,Warszawa,Tak,25 000,30 000
Fullstack Developer (React),"Warszawa, +1 location",Nie,Brak danych,Brak danych
C# Developer,"Katowice, +2 locations",Tak,17 000,24 000
Programista / Programistka .NET,Warszawa,Tak,14 000,18 000
Back-End Developer,"Zielona Góra, +2 locations",Nie,Brak danych,Brak danych
Junior Backend Developer,"Gliwice, +2 locations",Tak,Brak danych,Brak danych
.Net Developer,Warszawa,Tak,23 520,28 560
.NET Developer (with Russian),"Warszawa, +4 locations",Tak,23 000,26 000
.NET Developer (Mid / Senior),Wrocław,Tak,16 800,21 000
.Net Developer,Wrocław,Tak,14 000,23 500
.Net Software Engineer,Warszawa,Nie,Brak danych,Brak danych
Mid Backend Developer,"Bielsko-Biala, +2 locations",Tak,Brak danych,Brak danych
.Net Engineer,"Kraków, +2 locations",Nie,11 000,21 000
Fullstack .NET Developer,Wrocław,Tak,18 000,21 000
Junior Full-stack Developer (.Net),Kraków,Nie,Brak danych,Brak danych
.Net Developer,Warszawa,Nie,13 000,18 000
.NET Fullstack Developer,Gdańsk,Nie,20 000,23 000
Senior .Net Developer,Warszawa,Nie,22 400,25 600
Backend C# Developer,Warszawa,Nie,10 000,12 000
.Net Developer,Wrocław,Tak,10 000,15 500
Młodszy Programista C#/SQL,Poznań,Tak,7 000,8 200
Fullstack .NET Developer,Warszawa,Tak,10 000,16 800
Senior Fullstack .NET Developer,Warszawa,Tak,16 000,21 000
.NET Developer,Gliwice,Tak,16 800,25 200
Praktyki w Zespole Programistów .NET,Warszawa,Nie,Brak danych,Brak danych
Senior .NET Developer,"Katowice, +1 location",Tak,Brak danych,Brak danych
.NET Developer,"Kraków, +2 locations",Tak,18 000,26 000
.NET Developer,"Warszawa, +3 locations",Tak,11 760,18 480
.NET Back-end Developer,"Warszawa, +1 location",Tak,12 000,20 800
Programista .NET / .NET Core,"Warszawa, +2 locations",Tak,16 000,23 500
Full Stack .NET Developer,Warszawa,Nie,14 400,24 000
Senior C#/.NET Software Developer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Fullstack .NET Developer,"Wrocław, +1 location",Tak,15 000,22 000
Senior .NET Full-stack Developer,Warszawa,Tak,21 840,26 880
.NET Developer (regular/senior),Kraków,Nie,Brak danych,Brak danych
Fullstack .NET Developer / ReactJS,"Warszawa, +1 location",Tak,16 000,24 000
.NET Back-End Developer,Warszawa,Nie,14 400,24 000
Developer C# z ERP,Wrocław,Nie,11 000,16 000
Junior/Mid Fullstack Developer,"Gdańsk, +2 locations",Tak,9 030,13 230
Programista .NET (Comarch e⁠-⁠Sklep),Rzeszów,Nie,Brak danych,Brak danych
Junior/Mid Fullstack Developer,"Gdańsk, +2 locations",Tak,9 030,13 230
Mid/Senior .Net Developer,"Warszawa, +2 locations",Tak,19 000,23 000
Junior Software Engineer,Wrocław,Nie,6 000,7 900
Junior .NET Developer,Poznań,Nie,6 000,8 500
C#/.Net Core Backend Developer (Remote),Gdańsk,Tak,11 000,13 000
Młodszy Programista .NET,Warszawa,Tak,Brak danych,Brak danych
Senior Software Engineer,Warszawa,Tak,Brak danych,Brak danych
C#/.NET Developer with Azure,Warszawa,Tak,14 000,20 000
.NET Software Developer,Kraków,Tak,16 000,20 000
Senior Developer .NET,"Wrocław, +2 locations",Tak,15 000,20 000
.Net Developer,Warszawa,Tak,11 760,18 480
.NET Developer,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Microsoft .NET Developer,Zabierzów,Nie,Brak danych,Brak danych
Junior Fullstack Developer,Warszawa,Nie,7 000,12 000
"Senior Software Engineer, .NET",Irvine,Tak,Brak danych,Brak danych
Fullstack .NET Developer,Warszawa,Tak,Brak danych,Brak danych
.Net Developer,Warszawa,Tak,11 760,18 480
.NET Developer,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Microsoft .NET Developer,Zabierzów,Nie,Brak danych,Brak danych
Junior Fullstack Developer,Warszawa,Nie,7 000,12 000
"Senior Software Engineer, .NET",Irvine,Tak,Brak danych,Brak danych
Fullstack .NET Developer,Warszawa,Tak,Brak danych,Brak danych
Automation QA (C#),Gdańsk,Nie,15 000,23 000
Mid Fullstack  (.Net + Angular),Warszawa,Tak,10 000,14 000
Młodszy Programista .NET,Warszawa,Tak,Brak danych,Brak danych
Senior .NET Developer,Gdańsk,Tak,18 000,23 000
.NET Developer,Warszawa,Tak,23 000,25 000
Software Engineer/ Sr. Software Engineer,Gdańsk,Tak,16 000,26 000
Web Developer ASP.NET C# & Angular,Kraków,Tak,8 000,14 000
Software Developer/ Programista .NET,Chorzów,Nie,6 000,9 000
Senior .Net Developer,Kraków,Tak,17 000,28 000
Back-End Developer,Wrocław,Tak,14 000,23 500
Fullstack Developer (.NET/Angular),Warszawa,Tak,22 000,25 000
.NET (AWS) Developer,Wrocław,Tak,17 500,23 000
Industrial IoT Software Eng. / Consulant,"Wrocław, +2 locations",Tak,18 000,24 300
.NET Developer,Warszawa,Tak,7 000,12 000
.NET Developer,Wrocław,Tak,17 000,20 000
C#/.Net Developer,Bydgoszcz,Nie,14 000,19 000
C# Software Developer,"Warszawa, +2 locations",Tak,16 800,25 600
Java Developer (Mid/Senior),"Kraków, +1 location",Tak,16 000,27 000
.NET Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
ASP.NET Developer,Warszawa,Tak,11 000,16 000
.Net Fullstack Developer,Gdańsk,Tak,13 000,21 000
Senior .NET Developer,Warszawa,Nie,13 000,19 000
.NET Developer,Warszawa,Nie,9 000,14 000
.NET Developer,"Katowice, +2 locations",Tak,16 000,27 000
Programista .NET,Łódź,Tak,Brak danych,Brak danych
Dynamics 365 CE Technical Architect,Katowice,Nie,Brak danych,Brak danych
Senior .NET Fullstack Developer,"Warszawa, +4 locations",Nie,Brak danych,Brak danych
Mid-Sr Full Stack .NET developer,Gdańsk,Nie,13 940,20 900
.NET Software Developer,Gdańsk,Tak,13 000,17 000
.NET Developer (AWS),"Warszawa, +2 locations",Tak,29 750,32 750
.NET Developer,"Białystok, +2 locations",Tak,9 000,16 000
Programista .NET Core,"Lublin, +2 locations",Tak,Brak danych,Brak danych
Full stack developer,"Katowice, +1 location",Tak,10 000,16 000
Junior .Net/Java Developer,Warszawa,Tak,10 000,13 000
Middle .NET Engineer (with Angular or React),Kraków,Tak,19 760,25 470
Junior/Regular Backend Developer,"Warszawa, +2 locations",Tak,10 000,18 000
.NET Fullstack Developer (Angular),Warszawa,Tak,15 000,20 000
.Net Developer,"Wrocław, +1 location",Tak,18 000,25 000
.Net Developer,"Wrocław, +1 location",Tak,16 000,21 000
Senior .NET Developer,Wrocław,Tak,Brak danych,Brak danych
.NET Developer,Łódź,Nie,8 000,15 000
Mid Backend Developer .NET - Remote,"Warszawa, +2 locations",Tak,26 010,29 730
.Net/C# Developer with React,Warszawa,Tak,20 000,27 000
Full-stack (.NET + Angular) Developer,"Warszawa, +2 locations",Nie,16 000,24 000
Senior Full Stack Developer (.NET),Warszawa,Nie,16 000,32 000
Senior .Net Developer,"Wrocław, +2 locations",Tak,12 000,20 000
.NET Developer,"Wrocław, +2 locations",Tak,15 000,21 800
Senior/Staff Software Engineer,"Melbourne, +5 locations",Tak,26 350,43 920
C# .NET Developer,Warszawa,Tak,5 000,10 000
Senior .NET Developer,"Warszawa, +2 locations",Tak,20 000,27 000
.NET Developer,Warszawa,Tak,12 000,18 000
Senior .NET Developer - 100% remote,Warszawa,Tak,18 000,24 000
Senior FullStack .Net Developer,Warszawa,Tak,26 000,31 000
.NET Developer,"Poznań, +1 location",Tak,12 000,18 000
.Net Developer with German,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
.NET Developer (vNext),Wrocław,Tak,Brak danych,Brak danych
.NET Developer,"Katowice, +1 location",Nie,11 500,20 000
.NET Developer,Wrocław,Tak,Brak danych,Brak danych
.Net Developer,"Warszawa, +1 location",Tak,16 000,26 000
Full-Stack .NET Developer,"Katowice, +1 location",Nie,11 500,20 000
Junior .Net Developer,Warszawa,Tak,4 000,8 000
C# .NET Junior Software Engineer,Katowice,Nie,5 000,7 000
.Net Developer (program stażowy),Białystok,Nie,Brak danych,Brak danych
C#/.Net Developer,Szczecin,Nie,15 000,17 000
Junior .NET Developer,"Bydgoszcz, +2 locations",Tak,6 000,9 500
Senior .Net Engineer,"Wrocław, +1 location",Tak,21 000,25 000
Backend .NET Developer,"Poznań, +2 locations",Tak,10 500,15 000
Senior .NET Developer,"Poznań, +2 locations",Tak,15 000,23 500
Fullstack .NET Developer,"Poznań, +2 locations",Tak,12 000,22 000
Software Commissioning Engineer (.NET),"Poznań, +2 locations",Tak,10 500,19 500
.NET Developer,"Warszawa, +3 locations",Tak,9 000,15 700
Full-Stack Developer (.NET + Angular),Gdańsk,Tak,19 000,23 000
Junior .NET Core Developer,"Gdańsk, +4 locations",Tak,6 000,9 000
.NET Developer,Sydney,Nie,Brak danych,Brak danych
Sharepoint Architect,"Wrocław, +2 locations",Tak,17 000,25 000
Azure Cloud Engineer,Gdańsk,Tak,Brak danych,Brak danych
Senior .NET Developer,"Poznań, +2 locations",Tak,15 000,23 500
Fullstack .NET Developer,"Poznań, +2 locations",Tak,12 000,22 000
Software Commissioning Engineer (.NET),"Poznań, +2 locations",Tak,10 500,19 500
.NET Developer,"Warszawa, +3 locations",Tak,9 000,15 700
Full-Stack Developer (.NET + Angular),Gdańsk,Tak,19 000,23 000
Junior .NET Core Developer,"Gdańsk, +4 locations",Tak,6 000,9 000
.NET Developer,Sydney,Nie,Brak danych,Brak danych
Sharepoint Architect,"Wrocław, +2 locations",Tak,17 000,25 000
