,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,więcej niż Front-End Developer_ka,Nie podano,Tak,8 500,16 000
1,Programista/ Projektant serwisów internetowych,Nie podano,Tak,10 000,16 000
2,Młodszy Architekt Systemów,Nie podano,Tak,Brak danych,Brak danych
