,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
0,Full-stack developer (Ruby),"Krakow, Warsaw",Tak,14 000,28 000
1,Full-stack developer (Ruby),Nie podano,Tak,14 000,28 000
2,Ruby on Rails Software Architect,Nie podano,Tak,20 900,27 000
3,Senior Ruby on Rails Developer,Nie podano,Tak,13 400,25 000
4,Ruby Fullstack Developer,Nie podano,Tak,Brak danych,Brak danych
5,Ruby on Rails Software Architect,"Gżira, Poznań, Tbilisi",Tak,20 900,27 000
6,Ruby on Rails Software Architect,"Gżira, Poznań, Tbilisi",Tak,20 900,27 000
7,Ruby Developer,Nie podano,Tak,12 000,21 000
